official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
82	1	云	82_1	雲	false	云南	雲南	authored-example	project-authored	我们明年想去云南旅行。	我們明年想去雲南旅行。		lexical-context
83	1	专	83_1	專	false	专业	專業	corpus-example	tatoeba:9989907	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。		lexical-context
86	1	艺	86_1	藝	false	艺术	藝術	corpus-example	tatoeba:332835	他是日本最伟大的艺术家之一。	他是日本最偉大的藝術家之一。		lexical-context
90	1	厅	90_1	廳	false	大厅	大廳	corpus-example	tatoeba:5624956	汤姆把夹克挂在大厅衣柜里。	湯姆把夾克掛在大廳衣櫃裡。		lexical-context
94	1	区	94_1	區	false	地区	地區	corpus-example	tatoeba:1325276	他的名字在这个地区人尽皆知。	他的名字在這個地區人盡皆知。		lexical-context
95	1	历	95_1	歷	false	历史	歷史	corpus-example	tatoeba:606893	这是一个具有历史价值的城市。	這是一個具有歷史價值的城市。		lexical-context
95	1	历	95_2	曆	false	万历	萬曆	authored-example	project-authored	这件瓷器制于万历年间。	這件瓷器制於萬曆年間。		lexical-context
100	1	车	100_1	車	false	汽车	汽車	corpus-example	tatoeba:420478	别等啦，我来招一辆出租汽车。	別等啦，我來招一輛出租汽車。		lexical-context
114	1	贝	114_1	貝	false	宝贝	寶貝	corpus-example	tatoeba:392260	这个球是那个男孩的宝贝。	這個球是那個男孩的寶貝。		lexical-context
115	1	冈	115_1	岡	false	黄冈	黃岡	authored-example	project-authored	黄冈位于湖北省东部。	黃岡位於湖北省東部。		lexical-context
118	1	见	118_1	見	false	意见	意見	corpus-example	tatoeba:333944	是在这点上我们的意见有分歧。	是在這點上我們的意見有分歧。		lexical-context
122	1	气	122_1	氣	false	气候	氣候	corpus-example	tatoeba:426884	总体上说，日本的气候温和。	總體上說，日本的氣候溫和。		lexical-context
127	1	长	127_1	長	false	增长	增長	corpus-example	tatoeba:4440148	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。		lexical-context
131	1	仆	131_0	仆	true	前仆后继	前仆後繼	authored-example	project-authored	救援人员前仆后继地冲进火场。	救援人員前仆後繼地衝進火場。		lexical-context
131	1	仆	131_1	僕	false	仆人	僕人	corpus-example	tatoeba:828800	心灵应该当一个好仆人，但心应该是主人。	心靈應該當一個好僕人，但心應該是主人。		lexical-context
134	1	币	134_1	幣	false	货币	貨幣	corpus-example	tatoeba:6039669	在商朝，贝朋为通用货币。	在商朝，貝朋為通用貨幣。		lexical-context
136	1	仅	136_1	僅	false	不仅	不僅	corpus-example	tatoeba:334733	不仅他们，连我也被老师罚了。	不僅他們，連我也被老師罰了。		lexical-context
142	1	从	142_1	從	false	从而	從而	corpus-example	tatoeba:13958137	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。		lexical-context
143	1	仑	143_1	侖	false	拿破仑	拿破侖	corpus-example	tatoeba:425949	这场战役让拿破仑称霸了整个欧洲。	這場戰役讓拿破侖稱霸了整個歐洲。		lexical-context
149	1	仓	149_1	倉	false	仓库	倉庫	corpus-example	tatoeba:9810323	仓库物料搬运设备有哪些？	倉庫物料搬運裝置有哪些？		lexical-context
154	1	风	154_1	風	false	风险	風險	corpus-example	tatoeba:375373	信用卡很有用，但也有风险。	信用卡很有用，但也有風險。		lexical-context
157	1	乌	157_1	烏	false	乌克兰	烏克蘭	corpus-example	tatoeba:10767106	你会说乌克兰语还是俄罗斯语？	你會說烏克蘭語還是俄羅斯語？		lexical-context
159	1	凤	159_1	鳳	false	凤凰	鳳凰	authored-natural-example	manual	传说中的凤凰从烈火中重生。	傳說中的鳳凰從烈火中重生。		lexical-context
165	1	为	165_1	爲	false	为了	爲了	corpus-example	tatoeba:437940	为了看野生动物，他去了非洲。	爲了看野生動物，他去了非洲。		lexical-context
166	1	斗	166_0	斗	true	筋斗	筋斗	corpus-example	tatoeba:537359	如果你在洋娃娃腹部的侧面上链的话，它就会扭动手臂，翻著筋斗向前前进。	如果你在洋娃娃腹部的側面上鍊的話，它就會扭動手臂，翻著筋斗向前前進。		lexical-context
166	1	斗	166_1	鬥	false	斗争	鬥爭	corpus-example	tatoeba:2567618	在权利斗争中，非友即敌。	在權利鬥爭中，非友即敵。		lexical-context
167	1	忆	167_1	憶	false	记忆	記憶	corpus-example	tatoeba:1737884	我想找一种提升记忆力的方法。	我想找一種提升記憶力的方法。		lexical-context
168	1	计	168_1	計	false	计划	計劃	corpus-example	tatoeba:332616	我们的计划从一开始就出错了。	我們的計劃從一開始就出錯了。		lexical-context
169	1	订	169_1	訂	false	签订	簽訂	corpus-example	tatoeba:13857147	我国与多个邻国签订了自由贸易协定。	我國與多個鄰國簽訂了自由貿易協定。		lexical-context
171	1	认	171_1	認	false	认为	認為	corpus-example	tatoeba:346765	我不认为他会把你的话听进去。	我不認為他會把你的話聽進去。		lexical-context
173	1	讥	173_1	譏	false	讥讽	譏諷	authored-example	project-authored	他的发言充满讥讽。	他的發言充滿譏諷。		lexical-context
177	1	丑	177_0	丑	true	辛丑	辛丑	authored-example	project-authored	辛丑是干支纪年中的一年。	辛丑是干支紀年中的一年。		lexical-context
177	1	丑	177_1	醜	false	丑陋	醜陋	corpus-example	tatoeba:13880624	杰西卡穿着一条丑陋的连衣裙。	傑西卡穿著一條醜陋的連衣裙。		lexical-context
180	1	队	180_1	隊	false	部队	部隊	corpus-example	tatoeba:13786754	军队派遣了后勤部队来支援前线作战。	軍隊派遣了後勤部隊來支援前線作戰。		lexical-context
181	1	办	181_1	辦	false	办法	辦法	corpus-example	tatoeba:345760	他绞尽脑汁想办法搞定这件事。	他絞盡腦汁想辦法搞定這件事。		lexical-context
185	1	邓	185_1	鄧	false	邓小平	鄧小平	authored-example	project-authored	历史课上介绍了邓小平。	歷史課上介紹了鄧小平。		lexical-context
186	1	劝	186_1	勸	false	劝说	勸說	corpus-example	tatoeba:3205560	在我的劝说下，她终于决定留下来了。	在我的勸說下，她終於決定留下來了。		lexical-context
187	1	双	187_1	雙	false	双方	雙方	corpus-example	tatoeba:333844	首先，我要听听双方的意见。	首先，我要聽聽雙方的意見。		lexical-context
188	1	书	188_1	書	false	书记	書記	corpus-example	tatoeba:2367446	直到党委书记出面加以解释，才算打消了这种想法。	直到黨委書記出面加以解釋，才算打消了這種想法。		lexical-context
195	1	击	195_1	擊	false	攻击	攻擊	corpus-example	tatoeba:13903429	自尊心是不向外攻击的优越感。	自尊心是不向外攻擊的優越感。		lexical-context
199	1	扑	199_1	撲	false	扑通	撲通	authored-example	project-authored	石头扑通一声掉进水里。	石頭撲通一聲掉進水裡。		lexical-context
209	1	节	209_1	節	false	季节	季節	corpus-example	tatoeba:2027913	一年之中，你最喜欢哪个季节？	一年之中，你最喜歡哪個季節？		lexical-context
211	1	术	211_0	术	true	白术	白术	authored-example	project-authored	白术是一种常见的中药材。	白术是一種常見的中藥材。		lexical-context
211	1	术	211_1	術	false	技术	技術	corpus-example	tatoeba:899118	除了语言，我也对技术感兴趣。	除了語言，我也對技術感興趣。		lexical-context
215	1	厉	215_1	厲	false	厉害	厲害	corpus-example	tatoeba:420946	痛过，但是没现在这么厉害。	痛過，但是沒現在這麼厲害。		lexical-context
221	1	龙	221_1	龍	false	小龙	小龍	authored-example	project-authored	那条小龙在云间穿梭。	那條小龍在雲間穿梭。		lexical-context
223	1	灭	223_1	滅	false	消灭	消滅	corpus-example	tatoeba:3576063	他们奋斗的目标是消灭天花。	他們奮鬥的目標是消滅天花。		lexical-context
224	1	轧	224_1	軋	false	倾轧	傾軋	authored-example	project-authored	派系之间的倾轧损害了组织。	派系之間的傾軋損害了組織。		lexical-context
225	1	东	225_1	東	false	东西	東西	corpus-example	tatoeba:343976	她感觉有东西碰到了她的脖子。	她感覺有東西碰到了她的脖子。		lexical-context
230	1	卢	230_1	盧	false	卢布	盧布	corpus-example	tatoeba:1977243	昨天我在口袋里发现了两万卢布，感到很愉快。	昨天我在口袋裡發現了兩萬盧布，感到很愉快。		lexical-context
231	1	业	231_1	業	false	企业	企業	corpus-example	tatoeba:407264	我哥哥在一家大企业有个职位。	我哥哥在一家大企業有個職位。		lexical-context
232	1	旧	232_1	舊	false	仍旧	仍舊	corpus-example	tatoeba:4866939	我仍旧无法相信我居然做了这种事。	我仍舊無法相信我居然做了這種事。		lexical-context
233	1	帅	233_1	帥	false	统帅	統帥	authored-example	project-authored	统帅下令全军撤退。	統帥下令全軍撤退。		lexical-context
234	1	归	234_1	歸	false	回归	回歸	corpus-example	tatoeba:10058500	有一首关于澳门回归的歌很好听。	有一首關於澳門回歸的歌很好聽。		lexical-context
238	1	叶	238_0	叶	true	叶韵	叶韻	authored-example	project-authored	这两句诗并不叶韵。	這兩句詩並不叶韻。		lexical-context
238	1	叶	238_1	葉	false	茶叶	茶葉	corpus-example	tatoeba:842076	茶叶是从中国传入的。	茶葉是從中國傳入的。		lexical-context
242	1	电	242_1	電	false	电话	電話	corpus-example	tatoeba:333978	我出去的时候有人打我电话吗？	我出去的時候有人打我電話嗎？		lexical-context
243	1	号	243_1	號	false	称号	稱號	authored-example	project-authored	她获得了全国冠军的称号。	她獲得了全國冠軍的稱號。		lexical-context
246	1	只	246_1	衹	false	只因	衹因	corpus-example	tatoeba:1789997	其实我的薪水是足够用的，只因我枵腹买书，所以就显得清苦。	其實我的薪水是足夠用的，衹因我枵腹買書，所以就顯得清苦。		lexical-context
246	1	只	246_2	隻	false	一只	一隻	corpus-example	tatoeba:382421	她有一只猫。那只猫是白色的。	她有一隻貓。那隻貓是白色的。		lexical-context
251	1	叽	251_1	嘰	false	叽哩咕噜	嘰哩咕嚕	authored-example	project-authored	他在角落里叽哩咕噜地说个不停。	他在角落裡嘰哩咕嚕地說個不停。		lexical-context
257	1	叹	257_1	嘆	false	叹息	嘆息	corpus-example	tatoeba:5550005	“我丢了钱包。”约翰叹息道。	“我丟了錢包。”約翰嘆息道。		lexical-context
273	1	们	273_1	們	false	我们	我們	corpus-example	tatoeba:136402	你记不记得我们认识的那一天？	你記不記得我們認識的那一天？		lexical-context
274	1	仪	274_1	儀	false	仪式	儀式	corpus-example	tatoeba:512436	我上个月组织了一个结婚仪式。	我上個月組織了一個結婚儀式。		lexical-context
281	1	丛	281_1	叢	false	草丛	草叢	corpus-example	tatoeba:798289	花园里杂草丛生。	花園裡雜草叢生。		lexical-context
286	1	尔	286_1	爾	false	偶尔	偶爾	corpus-example	tatoeba:2567453	即使现在，偶尔还是会有余震。	即使現在，偶爾還是會有餘震。		lexical-context
287	1	乐	287_1	樂	false	音乐	音樂	corpus-example	tatoeba:353511	每个人对音乐的审美都不一样。	每個人對音樂的審美都不一樣。		lexical-context
294	1	处	294_1	處	false	处理	處理	corpus-example	tatoeba:334705	你从来没时间处理重要的事情！	你從來沒時間處理重要的事情！		lexical-context
295	1	冬	295_0	冬	true	冬季	冬季	corpus-example	tatoeba:1737844	什么是你最喜爱的冬季运动？	什麼是你最喜愛的冬季運動？		lexical-context
295	1	冬	295_1	鼕	false	扑冬	撲鼕	authored-example	project-authored	苹果扑冬一声落在地上。	蘋果撲鼕一聲落在地上。		lexical-context
296	1	鸟	296_1	鳥	false	鸟类	鳥類	corpus-example	tatoeba:333590	观察鸟类是个很好的业余爱好。	觀察鳥類是個很好的業餘愛好。		lexical-context
297	1	务	297_1	務	false	国务院	國務院	corpus-example	tatoeba:9804867	国务院次卿出访拉丁美洲展开游说。	國務院次卿出訪拉丁美洲展開遊說。		lexical-context
299	1	饥	299_1	飢	false	饥饿	飢餓	corpus-example	tatoeba:334868	在非洲有许多孩子死于饥饿。	在非洲有許多孩子死於飢餓。		lexical-context
299	1	饥	299_2	饑	false	饥民	饑民	authored-example	project-authored	官府开仓救济饥民。	官府開倉救濟饑民。		lexical-context
303	1	冯	303_1	馮	false	冯玉祥	馮玉祥	authored-example	project-authored	冯玉祥是民国时期的军事人物。	馮玉祥是民國時期的軍事人物。		lexical-context
305	1	闪	305_1	閃	false	闪电	閃電	corpus-example	tatoeba:778516	汤姆被闪电击中过三次。	湯姆被閃電擊中過三次。		lexical-context
306	1	兰	306_1	蘭	false	荷兰	荷蘭	corpus-example	tatoeba:335000	在我去荷兰之前，我从没见过风车。	在我去荷蘭之前，我從沒見過風車。		lexical-context
309	1	汇	309_1	匯	false	汇报	匯報	corpus-example	tatoeba:13897445	你汇报一下。	你匯報一下。		lexical-context
309	1	汇	309_2	彙	false	汇报	彙報	corpus-example	tatoeba:13897445	你汇报一下。	你彙報一下。		lexical-context
310	1	头	310_1	頭	false	寡头	寡頭	authored-example	project-authored	几名寡头控制了当地市场。	幾名寡頭控制了當地市場。		lexical-context
311	1	汉	311_1	漢	false	武汉	武漢	authored-example	project-authored	武汉坐落在长江沿岸。	武漢坐落在長江沿岸。		lexical-context
312	1	宁	312_1	寧	false	咸宁	咸寧	authored-example	project-authored	咸宁以温泉闻名。	咸寧以溫泉聞名。		lexical-context
315	1	讨	315_1	討	false	讨论	討論	corpus-example	tatoeba:335621	让我们和他们讨论这个问题吧。	讓我們和他們討論這個問題吧。		lexical-context
316	1	写	316_1	寫	false	描写	描寫	corpus-example	tatoeba:349556	我打算描写我们的公园和山。	我打算描寫我們的公園和山。		lexical-context
317	1	让	317_1	讓	false	转让	轉讓	authored-example	project-authored	双方签署了股权转让协议。	雙方簽署了股權轉讓協議。		lexical-context
318	1	礼	318_1	禮	false	礼部	禮部	authored-example	project-authored	礼部负责古代的礼仪事务。	禮部負責古代的禮儀事務。		lexical-context
319	1	训	319_1	訓	false	训练	訓練	corpus-example	tatoeba:2027995	未来飞行员将在模拟操作室中训练。	未來飛行員將在模擬操作室中訓練。		lexical-context
320	1	议	320_1	議	false	会议	會議	corpus-example	tatoeba:332802	仅三分之一的成员出席了会议。	僅三分之一的成員出席了會議。		lexical-context
322	1	讯	322_1	訊	false	通讯	通訊	corpus-example	tatoeba:13894758	我的通讯录里全是些没什么印象的人。	我的通訊錄裡全是些沒什麼印象的人。		lexical-context
323	1	记	323_1	記	false	记者	記者	corpus-example	tatoeba:3659903	我认识肩上背着照相机的记者。	我認識肩上揹著照相機的記者。		lexical-context
330	1	出	330_0	出	true	出来	出來	corpus-example	tatoeba:501347	人类生出来不是为了永久生存。	人類生出來不是為了永久生存。		lexical-context
330	1	出	330_1	齣	false	一出	一齣	authored-example	project-authored	昨晚我看了一出好戏。	昨晚我看了一齣好戲。		lexical-context
331	1	辽	331_1	遼	false	辽东	遼東	authored-example	project-authored	明军曾在辽东修筑城堡。	明軍曾在遼東修築城堡。		lexical-context
337	1	边	337_1	邊	false	一边	一邊	corpus-example	tatoeba:2200413	他们在一边吃喝，一边聊天儿。	他們在一邊吃喝，一邊聊天兒。		lexical-context
339	1	发	339_1	發	false	发展	發展	lexical-context	cc-cedict	公司发展得很快。	公司發展得很快。		lexical-context
339	1	发	339_2	髮	false	头发	頭髮	lexical-context	cc-cedict	他的头发很短。	他的頭髮很短。		lexical-context
340	1	圣	340_1	聖	false	神圣	神聖	corpus-example	tatoeba:10355206	在印度，牛是一种神圣的动物。	在印度，牛是一種神聖的動物。		lexical-context
341	1	对	341_1	對	false	对于	對於	corpus-example	tatoeba:770833	这个是我对于你的问题的答案。	這個是我對於你的問題的答案。		lexical-context
342	1	台	342_0	台	true	台湾	台灣	corpus-example	tatoeba:3701786	我在台湾时，我们成为好朋友。	我在台灣時，我們成為好朋友。		lexical-context
342	1	台	342_1	臺	false	台湾	臺灣	corpus-example	tatoeba:3701786	我在台湾时，我们成为好朋友。	我在臺灣時，我們成為好朋友。		lexical-context
342	1	台	342_2	颱	false	台风	颱風	corpus-example	tatoeba:1944810	我做梦也没想到那儿会有台风。	我做夢也沒想到那兒會有颱風。		lexical-context
342	1	台	342_3	檯	false	柜台	櫃檯	corpus-example	tatoeba:420204	还有那边柜台里也有很多呢。	還有那邊櫃檯裡也有很多呢。		lexical-context
344	1	纠	344_1	糾	false	纠正	糾正	corpus-example	tatoeba:867616	你确认那是可纠正的错误吗？	你確認那是可糾正的錯誤嗎？		lexical-context
347	1	丝	347_1	絲	false	丝毫	絲毫	corpus-example	tatoeba:13750247	雨丝毫没有停的意思。	雨絲毫沒有停的意思。		lexical-context
353	1	动	353_1	動	false	活动	活動	corpus-example	tatoeba:13942910	这是商场促销活动送的保温杯。	這是商場促銷活動送的保溫杯。		lexical-context
361	1	巩	361_1	鞏	false	巩固	鞏固	corpus-example	tatoeba:13054926	真正的王在巩固他的权利，然而虚假的王却在打高尔夫。	真正的王在鞏固他的權利，然而虛假的王卻在打高爾夫。		lexical-context
363	1	执	363_1	執	false	执行	執行	corpus-example	tatoeba:334978	我们在任何公司都应该是执行者。	我們在任何公司都應該是執行者。		lexical-context
364	1	扩	364_1	擴	false	扩大	擴大	corpus-example	tatoeba:1883635	他试图扩大自己的势力范围。	他試圖擴大自己的勢力範圍。		lexical-context
365	1	扫	365_1	掃	false	扫描	掃描	corpus-example	tatoeba:10534902	汤姆，你能教玛丽用扫描仪吗？	湯姆，你能教瑪麗用掃描儀嗎？		lexical-context
367	1	场	367_1	場	false	市场	市場	corpus-example	tatoeba:609957	我们在市场上买了些蔬菜和鱼。	我們在市場上買了些蔬菜和魚。		lexical-context
368	1	扬	368_1	揚	false	扬州	揚州	corpus-example	tatoeba:6284488	我们去北京、西安、上海和扬州。	我們去北京、西安、上海和揚州。		lexical-context
373	1	亚	373_1	亞	false	亚洲	亞洲	corpus-example	tatoeba:8743781	请问乔治亚洲的最低工资是多少？	請問喬治亞洲的最低工資是多少？		lexical-context
376	1	朴	376_0	朴	true	俭朴	儉朴	authored-example	project-authored	他们一家生活俭朴。	他們一家生活儉朴。		lexical-context
376	1	朴	376_1	樸	false	朴实	樸實	authored-example	project-authored	他的语言朴实而有力。	他的語言樸實而有力。		lexical-context
377	1	机	377_1	機	false	机关	機關	corpus-example	tatoeba:9007589	请把电视机关掉好吗？	請把電視機關掉好嗎？		lexical-context
378	1	权	378_1	權	false	权力	權力	corpus-example	tatoeba:1970428	汉宣帝时，匈奴贵族争夺权力。	漢宣帝時，匈奴貴族爭奪權力。		lexical-context
379	1	过	379_1	過	false	通过	通過	corpus-example	tatoeba:1358598	通过诋毁别人，你得不到什么。	通過詆譭別人，你得不到什麼。		lexical-context
383	1	协	383_1	協	false	协议	協議	corpus-example	tatoeba:13531846	欧洲各国之间需要达成协议。	歐洲各國之間需要達成協議。		lexical-context
385	1	压	385_1	壓	false	压力	壓力	corpus-example	tatoeba:1565680	橡皮不硬：它在压力下会变形。	橡皮不硬：它在壓力下會變形。		lexical-context
386	1	厌	386_1	厭	false	讨厌	討厭	corpus-example	tatoeba:335359	无论怎样，都很讨厌，不是吗？	無論怎樣，都很討厭，不是嗎？		lexical-context
393	1	页	393_1	頁	false	网页	網頁	corpus-example	tatoeba:389821	一个网页超过百分之九十的访问量是来自于搜索引擎的。	一個網頁超過百分之九十的訪問量是來自於搜尋引擎的。		lexical-context
395	1	夸	395_0	夸	true	夸特	夸特	authored-example	project-authored	这枚硬币值一夸特。	這枚硬幣值一夸特。		lexical-context
395	1	夸	395_1	誇	false	夸张	誇張	corpus-example	tatoeba:919618	在我看来，她有一种夸张的倾向。	在我看來，她有一種誇張的傾向。		lexical-context
396	1	夺	396_1	奪	false	夺取	奪取	authored-example	project-authored	队员奋力夺取冠军。	隊員奮力奪取冠軍。		lexical-context
398	1	达	398_1	達	false	达到	達到	corpus-example	tatoeba:808213	我们终于达到了我们的目标。	我們終於達到了我們的目標。		lexical-context
402	1	夹	402_1	夾	false	夹击	夾擊	corpus-example	tatoeba:5951355	我们被两面夹击了。	我們被兩面夾擊了。		lexical-context
404	1	轨	404_1	軌	false	轨道	軌道	corpus-example	tatoeba:918510	很多月亮在土星四周绕轨道运行。	很多月亮在土星四周繞軌道執行。		lexical-context
406	1	尧	406_1	堯	false	唐尧	唐堯	authored-example	project-authored	唐尧是传说中的古代君主。	唐堯是傳說中的古代君主。		lexical-context
407	1	划	407_0	划	true	划船	划船	corpus-example	tatoeba:336671	为了参加划船比赛，一支新的队伍组成了。	為了參加划船比賽，一支新的隊伍組成了。		lexical-context
407	1	划	407_1	劃	false	计划	計劃	authored-natural-example	manual	我们计划明年去日本旅行。	我們計劃明年去日本旅行。		lexical-context
408	1	迈	408_1	邁	false	迈进	邁進	authored-example	project-authored	我们正向新的目标迈进。	我們正向新的目標邁進。		lexical-context
409	1	毕	409_1	畢	false	毕业	畢業	corpus-example	tatoeba:633979	我父亲在我毕业之前就过世了。	我父親在我畢業之前就過世了。		lexical-context
412	1	贞	412_1	貞	false	坚贞不屈	堅貞不屈	authored-example	project-authored	她面对威胁仍然坚贞不屈。	她面對威脅仍然堅貞不屈。		lexical-context
413	1	师	413_1	師	false	师父	師父	corpus-example	tatoeba:862457	“拜个不够行的师父，很伤脑筋吧？”　“我也很笨，所以没关系。”	“拜個不夠行的師父，很傷腦筋吧？”　“我也很笨，所以沒關係。”		lexical-context
414	1	尘	414_1	塵	false	拂尘	拂塵	authored-example	project-authored	道士轻轻挥动手中的拂尘。	道士輕輕揮動手中的拂塵。		lexical-context
418	1	当	418_1	當	false	当时	當時	corpus-example	tatoeba:429478	我当时每个月都会购买五本书。	我當時每個月都會購買五本書。		lexical-context
418	1	当	418_2	噹	false	叮当	叮噹	authored-example	project-authored	门外传来叮当的铃声。	門外傳來叮噹的鈴聲。		lexical-context
420	1	吁	420_0	吁	true	长吁短叹	長吁短嘆	authored-example	project-authored	他整天长吁短叹，却不肯行动。	他整天長吁短嘆，卻不肯行動。		lexical-context
420	1	吁	420_1	籲	false	呼吁	呼籲	corpus-example	tatoeba:908527	我们提出了请求支持的呼吁。	我們提出了請求支援的呼籲。		lexical-context
422	1	吓	422_1	嚇	false	吓坏	嚇壞	corpus-example	tatoeba:12568856	一开头她吓坏了, 后来才定下神来。	一開頭她嚇壞了, 後來才定下神來。		lexical-context
423	1	虫	423_1	蟲	false	昆虫	昆蟲	corpus-example	tatoeba:1790171	这种昆虫在英语中叫什么？	這種昆蟲在英語中叫什麼？		lexical-context
424	1	曲	424_0	曲	true	曲折	曲折	corpus-example	tatoeba:13537184	智慧线清晰且曲折，预示思维敏捷但易犹豫不决。	智慧線清晰且曲折，預示思維敏捷但易猶豫不決。		lexical-context
424	1	曲	424_1	麯	false	酒曲	酒麯	authored-example	project-authored	酿酒时需要使用酒曲。	釀酒時需要使用酒麯。		lexical-context
425	1	团	425_1	團	false	集团	集團	corpus-example	tatoeba:13882118	国际刑警组织正在追查跨国绑架集团的下落。	國際刑警組織正在追查跨國綁架集團的下落。		lexical-context
425	1	团	425_2	糰	false	团子	糰子	authored-example	project-authored	孩子吃了一个糯米团子。	孩子吃了一個糯米糰子。		lexical-context
432	1	吗	432_1	嗎	false	干吗	幹嗎	authored-example	project-authored	你站在门口干吗？	你站在門口幹嗎？		lexical-context
434	1	屿	434_1	嶼	false	岛屿	島嶼	corpus-example	tatoeba:1394838	这个岛屿位于日本的西边。	這個島嶼位於日本的西邊。		lexical-context
