mapping_code	source_type	source_id	simplified_word	traditional_word	simplified_sentence	traditional_sentence	source_sentence
6706_1	authored	level-3/6706_1	自郐以下	自鄶以下	自郐以下是一个成语或固定说法。	自鄶以下是一個成語或固定說法。	自郐以下是一个成语或固定说法。
6713_1	authored	level-3/6713_1	秋狝	秋獮	秋狝是一个较少见的词语。	秋獮是一個較少見的詞語。	秋狝是一个较少见的词语。
6745_1	authored	level-3/6745_1	迳庭	逕庭	迳庭是一个较少见的词语。	逕庭是一個較少見的詞語。	迳庭是一个较少见的词语。
6751_1	authored	level-3/6751_1	驺从	騶從	驺从是一个较少见的词语。	騶從是一個較少見的詞語。	驺从是一个较少见的词语。
6753_1	authored	level-3/6753_1	执绋	執紼	执绋是一个较少见的词语。	執紼是一個較少見的詞語。	执绋是一个较少见的词语。
6761_1	authored	level-3/6761_1	玓𬍛	玓瓅	玓𬍛是一个较少见的词语。	玓瓅是一個較少見的詞語。	玓𬍛是一个较少见的词语。
6768_1	authored	level-3/6768_1	榆木圪垯	榆木圪墶	榆木圪垯是一个较少见的词语。	榆木圪墶是一個較少見的詞語。	榆木圪垯是一个较少见的词语。
6786_1	authored	level-3/6786_1	刍荛	芻蕘	刍荛是一个较少见的词语。	芻蕘是一個較少見的詞語。	刍荛是一个较少见的词语。
6806_1	authored	level-3/6806_1	丽䴓	麗鳾	丽䴓是一个较少见的词语。	麗鳾是一個較少見的詞語。	丽䴓是一个较少见的词语。
6817_1	authored	level-3/6817_1	凌轹	凌轢	凌轹是一个较少见的词语。	凌轢是一個較少見的詞語。	凌轹是一个较少见的词语。
6827_1	authored	level-3/6827_1	哒嗪	噠嗪	哒嗪是一种材料或化学物质。	噠嗪是一種材料或化學物質。	哒嗪是一种材料或化学物质。
6845_1	authored	level-3/6845_1	钜子	鉅子	钜子是一种器物。	鉅子是一種器物。	钜子是一种器物。
6854_1	authored	level-3/6854_1	按俫	按倈	按俫是一个较少见的词语。	按倈是一個較少見的詞語。	按俫是一个较少见的词语。
6861_1	authored	level-3/6861_1	南舣北驾	南艤北駕	南舣北驾是一个较少见的词语。	南艤北駕是一個較少見的詞語。	南舣北驾是一个较少见的词语。
6864_1	authored	level-3/6864_1	鸧鹒	鶬鶊	鸧鹒是一种鸟。	鶬鶊是一種鳥。	鸧鹒是一种鸟。
6872_1	authored	level-3/6872_1	飐飐	颭颭	飐飐是一个较少见的词语。	颭颭是一個較少見的詞語。	飐飐是一个较少见的词语。
6886_1	authored	level-3/6886_1	浈江区	湞江區	浈江区是一个地名。	湞江區是一個地名。	浈江区是一个地名。
6887_1	authored	level-3/6887_1	浉河	溮河	浉河是一个地名。	溮河是一個地名。	浉河是一个地名。
6895_1	authored	level-3/6895_1	浐河	滻河	浐河是一个地名。	滻河是一個地名。	浐河是一个地名。
6953_1	authored	level-3/6953_1	豨莶草	豨薟草	豨莶草是一种植物。	豨薟草是一種植物。	豨莶草是一种植物。
6955_1	authored	level-3/6955_1	芎䓖	芎藭	芎䓖是一种植物。	芎藭是一種植物。	芎䓖是一种植物。
6958_1	authored	level-3/6958_1	枝桠	枝椏	枝桠是一个较少见的词语。	枝椏是一個較少見的詞語。	枝桠是一个较少见的词语。
6977_1	authored	level-3/6977_1	梁辀	梁輈	梁辀是一种器物。	梁輈是一種器物。	梁辀是一种器物。
6978_1	authored	level-3/6978_1	辁才	輇才	辁才是一个较少见的词语。	輇才是一個較少見的詞語。	辁才是一个较少见的词语。
6981_1	authored	level-3/6981_1	不赀	不貲	不赀是一个较少见的词语。	不貲是一個較少見的詞語。	不赀是一个较少见的词语。
6985_1	authored	level-3/6985_1	唝吥	嗊吥	唝吥是一个较少见的词语。	嗊吥是一個較少見的詞語。	唝吥是一个较少见的词语。
6989_1	authored	level-3/6989_1	范晔	范曄	范晔是一个人名。	范曄是一個人名。	范晔是一个人名。
6991_1	authored	level-3/6991_1	余晖	餘暉	余晖是一个较少见的词语。	餘暉是一個較少見的詞語。	余晖是一个较少见的词语。
6996_1	authored	level-3/6996_1	覆帱	覆幬	覆帱是一个较少见的词语。	覆幬是一個較少見的詞語。	覆帱是一个较少见的词语。
7000_1	authored	level-3/7000_1	行崄侥幸	行嶮僥幸	行崄侥幸是一个成语或固定说法。	行嶮僥幸是一個成語或固定說法。	行崄侥幸是一个成语或固定说法。
7003_1	authored	level-3/7003_1	西赆南琛	西贐南琛	西赆南琛是一个成语或固定说法。	西贐南琛是一個成語或固定說法。	西赆南琛是一个成语或固定说法。
7009_1	authored	level-3/7009_1	钴𬭁	鈷鉧	钴𬭁是一个较少见的词语。	鈷鉧是一個較少見的詞語。	钴𬭁是一个较少见的词语。
7029_1	authored	level-3/7029_1	鹡鸰	鶺鴒	鹡鸰是一种鸟。	鶺鴒是一種鳥。	鹡鸰是一种鸟。
7039_1	authored	level-3/7039_1	覆𫗧	覆餗	覆𫗧是一个较少见的词语。	覆餗是一個較少見的詞語。	覆𫗧是一个较少见的词语。
7059_1	authored	level-3/7059_1	涢水	溳水	涢水是一个地名。	溳水是一個地名。	涢水是一个地名。
7079_1	authored	level-3/7079_1	袯襫	襏襫	袯襫是一个较少见的词语。	襏襫是一個較少見的詞語。	袯襫是一个较少见的词语。
7096_1	authored	level-3/7096_1	犁牛骍角	犁牛騂角	犁牛骍角是一个较少见的词语。	犁牛騂角是一個較少見的詞語。	犁牛骍角是一个较少见的词语。
7117_1	authored	level-3/7117_1	一壸千金	一壼千金	一壸千金是一个成语或固定说法。	一壼千金是一個成語或固定說法。	一壸千金是一个成语或固定说法。
7119_1	authored	level-3/7119_1	耵聍	耵聹	耵聍是一个医学词语。	耵聹是一個醫學詞語。	耵聍是一个医学词语。
7135_1	authored	level-3/7135_1	梼杌	檮杌	梼杌是一个较少见的词语。	檮杌是一個較少見的詞語。	梼杌是一个较少见的词语。
7138_1	authored	level-3/7138_1	梾木	棶木	梾木是一种植物。	棶木是一種植物。	梾木是一种植物。
7147_1	authored	level-3/7147_1	硙硙	磑磑	硙硙是一个较少见的词语。	磑磑是一個較少見的詞語。	硙硙是一个较少见的词语。
7148_1	authored	level-3/7148_1	硚口区	礄口區	硚口区是一个地名。	礄口區是一個地名。	硚口区是一个地名。
7152_1	authored	level-3/7152_1	蚁䴕	蟻鴷	蚁䴕是一种鸟。	蟻鴷是一種鳥。	蚁䴕是一种鸟。
7166_1	authored	level-3/7166_1	䗖𬟽	螮蝀	䗖𬟽是一个较少见的词语。	螮蝀是一個較少見的詞語。	䗖𬟽是一个较少见的词语。
7168_1	authored	level-3/7168_1	啴缓	嘽緩	啴缓是一个较少见的词语。	嘽緩是一個較少見的詞語。	啴缓是一个较少见的词语。
7181_1	authored	level-3/7181_1	阮大铖	阮大鋮	阮大铖是一个人名。	阮大鋮是一個人名。	阮大铖是一个人名。
7184_1	authored	level-3/7184_1	钌铞儿	釕銱兒	钌铞儿是一种器物。	釕銱兒是一種器物。	钌铞儿是一种器物。
7186_1	authored	level-3/7186_1	铴锣	鐋鑼	铴锣是一种器物。	鐋鑼是一種器物。	铴锣是一种器物。
7194_1	authored	level-3/7194_1	鸺鹠	鵂鶹	鸺鹠是一种鸟。	鵂鶹是一種鳥。	鸺鹠是一种鸟。
7252_1	authored	level-3/7252_1	花下晒裈	花下曬褌	花下晒裈是一个较少见的词语。	花下曬褌是一個較少見的詞語。	花下晒裈是一个较少见的词语。
7256_1	authored	level-3/7256_1	谋无遗谞	謀無遺諝	谋无遗谞是一个较少见的词语。	謀無遺諝是一個較少見的詞語。	谋无遗谞是一个较少见的词语。
7280_1	authored	level-3/7280_1	骕骦	驌驦	骕骦是一个较少见的词语。	驌驦是一個較少見的詞語。	骕骦是一个较少见的词语。
7327_1	authored	level-3/7327_1	圃鹀	圃鵐	圃鹀是一种鸟。	圃鵐是一種鳥。	圃鹀是一种鸟。
7336_1	authored	level-3/7336_1	酦酵	醱酵	酦酵是一种材料或化学物质。	醱酵是一種材料或化學物質。	酦酵是一种材料或化学物质。
7337_1	authored	level-3/7337_1	觌面	覿面	觌面是一个较少见的词语。	覿面是一個較少見的詞語。	觌面是一个较少见的词语。
7342_1	authored	level-3/7342_1	陆詟水栗	陸讋水慄	陆詟水栗是一个成语或固定说法。	陸讋水慄是一個成語或固定說法。	陆詟水栗是一个成语或固定说法。
7344_1	authored	level-3/7344_1	辒辌	轀輬	辒辌是一种器物。	轀輬是一種器物。	辒辌是一种器物。
7365_1	authored	level-3/7365_1	欹嵚历落	欹嶔歷落	欹嵚历落是一个较少见的词语。	欹嶔歷落是一個較少見的詞語。	欹嵚历落是一个较少见的词语。
7367_1	authored	level-3/7367_1	智𫖮	智顗	智𫖮是一个人名。	智顗是一個人名。	智𫖮是一个人名。
7370_1	authored	level-3/7370_1	赑屃	贔屭	赑屃是一个较少见的词语。	贔屭是一個較少見的詞語。	赑屃是一个较少见的词语。
7372_1	authored	level-3/7372_1	赒人	賙人	赒人是一个较少见的词语。	賙人是一個較少見的詞語。	赒人是一个较少见的词语。
7383_1	authored	level-3/7383_1	中度锓	中度鋟	中度锓是一个较少见的词语。	中度鋟是一個較少見的詞語。	中度锓是一个较少见的词语。
7389_1	authored	level-3/7389_1	筼筜	篔簹	筼筜是一种植物。	篔簹是一種植物。	筼筜是一种植物。
7401_1	authored	level-3/7401_1	腘窝	膕窩	腘窝是一个医学词语。	膕窩是一個醫學詞語。	腘窝是一个医学词语。
7406_1	authored	level-3/7406_1	鲃鱼	䰾魚	鲃鱼是一种鱼类或水生动物。	䰾魚是一種魚類或水生動物。	鲃鱼是一种鱼类或水生动物。
7408_1	authored	level-3/7408_1	大𫛭	大鵟	大𫛭是一个较少见的词语。	大鵟是一個較少見的詞語。	大𫛭是一个较少见的词语。
7435_1	authored	level-3/7435_1	溇水	漊水	溇水是一个地名。	漊水是一個地名。	溇水是一个地名。
7441_1	authored	level-3/7441_1	敩学相长	斆學相長	敩学相长是一个较少见的词语。	斆學相長是一個較少見的詞語。	敩学相长是一个较少见的词语。
7445_1	authored	level-3/7445_1	裣衽	襝衽	裣衽是一个较少见的词语。	襝衽是一個較少見的詞語。	裣衽是一个较少见的词语。
7456_1	authored	level-3/7456_1	坛𬴃	罈騞	坛𬴃是一个较少见的词语。	罈騞是一個較少見的詞語。	坛𬴃是一个较少见的词语。
7458_1	authored	level-3/7458_1	束缊举火	束緼舉火	束缊举火是一个成语或固定说法。	束緼舉火是一個成語或固定說法。	束缊举火是一个成语或固定说法。
7459_1	authored	level-3/7459_1	一针一缐	一針一線	一针一缐是一个较少见的词语。	一針一線是一個較少見的詞語。	一针一缐是一个较少见的词语。
7479_1	authored	level-3/7479_1	鲂鱼赪尾	魴魚赬尾	鲂鱼赪尾是一个成语或固定说法。	魴魚赬尾是一個成語或固定說法。	鲂鱼赪尾是一个成语或固定说法。
7491_1	authored	level-3/7491_1	薯蓣	薯蕷	薯蓣是一种植物。	薯蕷是一種植物。	薯蓣是一种植物。
7499_1	authored	level-3/7499_1	面缚舆榇	面縛輿櫬	面缚舆榇是一种器物。	面縛輿櫬是一種器物。	面缚舆榇是一种器物。
7518_1	authored	level-3/7518_1	鹍弦	鵾弦	鹍弦是一种器物。	鵾弦是一種器物。	鹍弦是一种器物。
7519_1	authored	level-3/7519_1	二𫫇英	二噁英	二𫫇英是一种材料或化学物质。	二噁英是一種材料或化學物質。	二𫫇英是一种材料或化学物质。
7528_1	authored	level-3/7528_1	锖色	錆色	锖色是一种材料或化学物质。	錆色是一種材料或化學物質。	锖色是一种材料或化学物质。
7543_1	authored	level-3/7543_1	筼筜	篔簹	筼筜是一种植物。	篔簹是一種植物。	筼筜是一种植物。
7548_1	authored	level-3/7548_1	台湾鹎	臺灣鵯	台湾鹎是一种鸟。	臺灣鵯是一種鳥。	台湾鹎是一种鸟。
7563_1	authored	level-3/7563_1	鳑鲏	鰟鮍	鳑鲏是一种鱼类或水生动物。	鰟鮍是一種魚類或水生動物。	鳑鲏是一种鱼类或水生动物。
7569_1	authored	level-3/7569_1	鸡鸣馌耕	雞鳴饁耕	鸡鸣馌耕是一个成语或固定说法。	雞鳴饁耕是一個成語或固定說法。	鸡鸣馌耕是一个成语或固定说法。
7573_1	authored	level-3/7573_1	彰善瘅恶	彰善癉惡	彰善瘅恶是一个成语或固定说法。	彰善癉惡是一個成語或固定說法。	彰善瘅恶是一个成语或固定说法。
7575_1	authored	level-3/7575_1	鸧鹒	鶬鶊	鸧鹒是一种鸟。	鶬鶊是一種鳥。	鸧鹒是一种鸟。
7608_1	authored	level-3/7608_1	肤见谫识	膚見謭識	肤见谫识是一个成语或固定说法。	膚見謭識是一個成語或固定說法。	肤见谫识是一个成语或固定说法。
7609_1	authored	level-3/7609_1	鹔鹴	鷫鸘	鹔鹴是一种鸟。	鷫鸘是一種鳥。	鹔鹴是一种鸟。
7625_1	authored	level-3/7625_1	瑷珲条约	璦琿條約	瑷珲条约是一个成语或固定说法。	璦琿條約是一個成語或固定說法。	瑷珲条约是一个成语或固定说法。
7644_1	authored	level-3/7644_1	白蔹	白蘞	白蔹是一种植物。	白蘞是一種植物。	白蔹是一种植物。
7656_1	authored	level-3/7656_1	栉风酾雨	櫛風釃雨	栉风酾雨是一个成语或固定说法。	櫛風釃雨是一個成語或固定說法。	栉风酾雨是一个成语或固定说法。
7668_1	authored	level-3/7668_1	大鹃䴗	大鵑鶪	大鹃䴗是一个较少见的词语。	大鵑鶪是一個較少見的詞語。	大鹃䴗是一个较少见的词语。
7679_1	authored	level-3/7679_1	万锺	萬鍾	万锺是一个较少见的词语。	萬鍾是一個較少見的詞語。	万锺是一个较少见的词语。
7683_1	authored	level-3/7683_1	罚锾	罰鍰	罚锾是一个较少见的词语。	罰鍰是一個較少見的詞語。	罚锾是一个较少见的词语。
7689_1	authored	level-3/7689_1	鹙鹭	鶖鷺	鹙鹭是一种鸟。	鶖鷺是一種鳥。	鹙鹭是一种鸟。
7703_1	authored	level-3/7703_1	鲗鱼涌	鰂魚涌	鲗鱼涌是一个地名。	鰂魚涌是一個地名。	鲗鱼涌是一个地名。
7705_1	authored	level-3/7705_1	鲙鱼	鱠魚	鲙鱼是一种鱼类或水生动物。	鱠魚是一種魚類或水生動物。	鲙鱼是一种鱼类或水生动物。
7708_1	authored	level-3/7708_1	𩽾𩾌	鮟鱇	𩽾𩾌是一个较少见的词语。	鮟鱇是一個較少見的詞語。	𩽾𩾌是一个较少见的词语。
7716_1	authored	level-3/7716_1	瘗玉埋香	瘞玉埋香	瘗玉埋香是一个成语或固定说法。	瘞玉埋香是一個成語或固定說法。	瘗玉埋香是一个成语或固定说法。
7748_1	authored	level-3/7748_1	麹义	麴義	麹义是一个人名。	麴義是一個人名。	麹义是一个人名。
7751_1	authored	level-3/7751_1	叆叇	靉靆	叆叇是一个较少见的词语。	靉靆是一個較少見的詞語。	叆叇是一个较少见的词语。
7772_1	authored	level-3/7772_1	䗖𬟽	螮蝀	䗖𬟽是一个较少见的词语。	螮蝀是一個較少見的詞語。	䗖𬟽是一个较少见的词语。
7786_1	authored	level-3/7786_1	皇甫镈	皇甫鎛	皇甫镈是一个人名。	皇甫鎛是一個人名。	皇甫镈是一个人名。
7790_1	authored	level-3/7790_1	朱镕基	朱鎔基	朱镕基是一个人名。	朱鎔基是一個人名。	朱镕基是一个人名。
7795_1	authored	level-3/7795_1	䴙䴘	鸊鷉	䴙䴘是一种鸟。	鸊鷉是一種鳥。	䴙䴘是一种鸟。
7798_1	authored	level-3/7798_1	乌鹟	烏鶲	乌鹟是一种鸟。	烏鶲是一種鳥。	乌鹟是一种鸟。
7805_1	authored	level-3/7805_1	鸺鹠	鵂鶹	鸺鹠是一种鸟。	鵂鶹是一種鳥。	鸺鹠是一种鸟。
7806_1	authored	level-3/7806_1	鹡鸰	鶺鴒	鹡鸰是一种鸟。	鶺鴒是一種鳥。	鹡鸰是一种鸟。
7810_1	authored	level-3/7810_1	彩鹢	彩鷁	彩鹢是一种鸟。	彩鷁是一種鳥。	彩鹢是一种鸟。
7811_1	authored	level-3/7811_1	鲽鹣	鰈鶼	鲽鹣是一个较少见的词语。	鰈鶼是一個較少見的詞語。	鲽鹣是一个较少见的词语。
7885_1	authored	level-3/7885_1	鲭鱼	鯖魚	鲭鱼是一种鱼类或水生动物。	鯖魚是一種魚類或水生動物。	鲭鱼是一种鱼类或水生动物。
7886_1	authored	level-3/7886_1	鲯鳅	鯕鰍	鲯鳅是一种鱼类或水生动物。	鯕鰍是一種魚類或水生動物。	鲯鳅是一种鱼类或水生动物。
7891_1	authored	level-3/7891_1	柳亸花娇	柳嚲花嬌	柳亸花娇是一个成语或固定说法。	柳嚲花嬌是一個成語或固定說法。	柳亸花娇是一个成语或固定说法。
7912_1	authored	level-3/7912_1	黉舍	黌舍	黉舍是一种器物。	黌舍是一種器物。	黉舍是一种器物。
7914_1	authored	level-3/7914_1	田鹨	田鷚	田鹨是一种鸟。	田鷚是一種鳥。	田鹨是一种鸟。
7935_1	authored	level-3/7935_1	蟏蛸	蠨蛸	蟏蛸是一个较少见的词语。	蠨蛸是一個較少見的詞語。	蟏蛸是一个较少见的词语。
7960_1	authored	level-3/7960_1	䲠鱼	鰆魚	䲠鱼是一种鱼类或水生动物。	鰆魚是一種魚類或水生動物。	䲠鱼是一种鱼类或水生动物。
7966_1	authored	level-3/7966_1	崆鳂	崆鰃	崆鳂是一种鱼类或水生动物。	崆鰃是一種魚類或水生動物。	崆鳂是一种鱼类或水生动物。
7974_1	authored	level-3/7974_1	白𬶨豚	白鱀豚	白𬶨豚是一个较少见的词语。	白鱀豚是一個較少見的詞語。	白𬶨豚是一个较少见的词语。
7987_1	authored	level-3/7987_1	𬟁草	虉草	𬟁草是一种植物。	虉草是一種植物。	𬟁草是一种植物。
7991_1	authored	level-3/7991_1	白尾鹲	白尾鸏	白尾鹲是一种鸟。	白尾鸏是一種鳥。	白尾鹲是一种鸟。
7993_1	authored	level-3/7993_1	披毛索黡	披毛索黶	披毛索黡是一个成语或固定说法。	披毛索黶是一個成語或固定說法。	披毛索黡是一个成语或固定说法。
8015_1	authored	level-3/8015_1	鳑鲏	鰟鮍	鳑鲏是一种鱼类或水生动物。	鰟鮍是一種魚類或水生動物。	鳑鲏是一种鱼类或水生动物。
8017_1	authored	level-3/8017_1	灰鹱	灰鸌	灰鹱是一种鸟。	灰鸌是一種鳥。	灰鹱是一种鸟。
8018_1	authored	level-3/8018_1	鹯视狼顾	鸇視狼顧	鹯视狼顾是一个成语或固定说法。	鸇視狼顧是一個成語或固定說法。	鹯视狼顾是一个成语或固定说法。
8023_1	authored	level-3/8023_1	冁然而笑	囅然而笑	冁然而笑是一个成语或固定说法。	囅然而笑是一個成語或固定說法。	冁然而笑是一个成语或固定说法。
8029_1	authored	level-3/8029_1	䴙䴘	鸊鷉	䴙䴘是一种鸟。	鸊鷉是一種鳥。	䴙䴘是一种鸟。
8043_1	authored	level-3/8043_1	𩽾𩾌	鮟鱇	𩽾𩾌是一个较少见的词语。	鮟鱇是一個較少見的詞語。	𩽾𩾌是一个较少见的词语。
8049_1	authored	level-3/8049_1	武士彟	武士彠	武士彟是一个人名。	武士彠是一個人名。	武士彟是一个人名。
8055_1	authored	level-3/8055_1	颞颥	顳顬	颞颥是一个医学词语。	顳顬是一個醫學詞語。	颞颥是一个医学词语。
8072_1	authored	level-3/8072_1	骕骦	驌驦	骕骦是一个较少见的词语。	驌驦是一個較少見的詞語。	骕骦是一个较少见的词语。
8084_1	authored	level-3/8084_1	鳣舍	鱣舍	鳣舍是一种器物。	鱣舍是一種器物。	鳣舍是一种器物。
8092_1	authored	level-3/8092_1	鹔鹴	鷫鸘	鹔鹴是一种鸟。	鷫鸘是一種鳥。	鹔鹴是一种鸟。
