official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
6639	3	驲	6639_1	馹	false	驲字	馹字	approved-manual	metalinguistic-fallback	使者乘驲连夜赶路。	使者乘馹連夜趕路。	Ancient postal transport: a relay horse or carriage used at historical courier stations.	approved-manual
6640	3	𫘜	6640_1	馼	false	𫘜字	馼字	domain-template	metalinguistic-fallback	古籍中用𫘜描述马匹。	古籍中用馼描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6641	3	纻	6641_1	紵	false	缟纻之交	縞紵之交	authored-example	project-authored	缟纻之交是一个成语或固定说法。	縞紵之交是一個成語或固定說法。		lexical-context
6642	3	𬘘	6642_1	紞	false	𬘘字	紞字	domain-template	metalinguistic-fallback	古代织物记录中出现了𬘘。	古代織物記錄中出現了紞。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6643	3	𫘝	6643_1	駃	false	𫘝字	駃字	domain-template	metalinguistic-fallback	古籍中用𫘝描述马匹。	古籍中用駃描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6644	3	纼	6644_1	紖	false	纼字	紖字	domain-template	metalinguistic-fallback	古代织物记录中出现了纼。	古代織物記錄中出現了紖。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6647	3	玱	6647_1	瑲	false	玱字	瑲字	domain-template	metalinguistic-fallback	古代玉器或人名记录中可见玱。	古代玉器或人名記錄中可見瑲。	Jade terminology / personal names: a rare character associated with jade, ornament, or name usage.	domain-template
6660	3	苧	6660_1	薴	false	苧悴	薴悴	authored-example	project-authored	苧悴是一个较少见的词语。	薴悴是一個較少見的詞語。		lexical-context
6664	3	㭎	6664_1	棡	false	㭎字	棡字	domain-template	metalinguistic-fallback	古代木器或植物记录中可见㭎。	古代木器或植物記錄中可見棡。	Woodcraft / historical botany: a rare character associated with wood, a wooden object, or a plant name.	domain-template
6670	3	𬨂	6670_1	軝	false	𬨂字	軝字	domain-template	metalinguistic-fallback	古代车辆记录中出现了𬨂。	古代車輛記錄中出現了軝。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6671	3	𬀩	6671_1	暐	false	𬀩字	暐字	domain-template	metalinguistic-fallback	古文中用𬀩描写光线或天气。	古文中用暐描寫光線或天氣。	Classical descriptions of light or weather: a rare character associated with brightness, sky conditions, or atmospheric movement.	domain-template
6672	3	𬀪	6672_1	晛	false	𬀪字	晛字	domain-template	metalinguistic-fallback	古文中用𬀪描写光线或天气。	古文中用晛描寫光線或天氣。	Classical descriptions of light or weather: a rare character associated with brightness, sky conditions, or atmospheric movement.	domain-template
6682	3	岽	6682_1	崬	false	岽字	崬字	domain-template	metalinguistic-fallback	地方志中记载了岽。	地方志中記載了崬。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6688	3	𬬩	6688_1	釴	false	𬬩字	釴字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见𬬩。	金屬器物或技術資料中可見釴。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6689	3	钐	6689_1	釤	false	钐字	釤字	element-domain	metalinguistic-fallback	实验记录中提到了钐。	實驗記錄中提到了釤。	Chemistry: samarium, a chemical element represented by this character in Chinese technical terminology.	element-domain
6690	3	钔	6690_1	鍆	false	钔字	鍆字	element-domain	metalinguistic-fallback	实验记录中提到了钔。	實驗記錄中提到了鍆。	Chemistry: mendelevium, a chemical element represented by this character in Chinese technical terminology.	element-domain
6691	3	钖	6691_1	鍚	false	钖字	鍚字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见钖。	金屬器物或技術資料中可見鍚。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6706	3	郐	6706_1	鄶	false	自郐以下	自鄶以下	authored-example	project-authored	自郐以下是一个成语或固定说法。	自鄶以下是一個成語或固定說法。		lexical-context
6713	3	狝	6713_1	獮	false	秋狝	秋獮	authored-example	project-authored	秋狝是一个较少见的词语。	秋獮是一個較少見的詞語。		lexical-context
6714	3	饳	6714_1	飿	false	饳字	飿字	domain-template	metalinguistic-fallback	地方食谱中提到了饳。	地方食譜中提到了飿。	Traditional or regional food vocabulary: a rare character used for a dish, food, or preparation.	domain-template
6726	3	峃	6726_1	嶨	false	峃字	嶨字	domain-template	metalinguistic-fallback	地方志中记载了峃。	地方志中記載了嶨。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6730	3	𫍣	6730_1	詷	false	𫍣字	詷字	domain-template	metalinguistic-fallback	古文中可见𫍣。	古文中可見詷。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6731	3	𬣳	6731_1	詪	false	𬣳字	詪字	domain-template	metalinguistic-fallback	古文中可见𬣳。	古文中可見詪。	Classical Chinese rhetoric / language: a rare speech-related character used in older vocabulary or writing.	domain-template
6732	3	𬩽	6732_1	鄩	false	𬩽字	鄩字	domain-template	metalinguistic-fallback	地方志中以𬩽记录地名。	地方志中以鄩記錄地名。	Historical geography: a rare character used in an old place name, administrative name, or surname.	domain-template
6733	3	鸤	6733_1	鳲	false	鸤字	鳲字	domain-template	metalinguistic-fallback	图鉴中记录了鸤这种鸟。	圖鑑中記錄了鳲這種鳥。	Zoology / ornithology: a rare character used in the name of a bird or bird group.	domain-template
6737	3	𬮿	6737_1	隑	false	𬮿字	隑字	domain-template	metalinguistic-fallback	地方志中记载了𬮿。	地方志中記載了隑。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6739	3	𬯀	6739_1	隮	false	𬯀字	隮字	domain-template	metalinguistic-fallback	地方志中记载了𬯀。	地方志中記載了隮。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6744	3	𫰛	6744_1	娙	false	𫰛字	娙字	curated-domain	metalinguistic-fallback	古文称她姿容𫰛美。	古文稱她姿容娙美。	Classical descriptions of appearance: a rare adjective or noun associated with a beautiful woman.	curated-domain
6745	3	迳	6745_1	逕	false	迳庭	逕庭	authored-example	project-authored	迳庭是一个较少见的词语。	逕庭是一個較少見的詞語。		lexical-context
6747	3	𬳵	6747_1	駓	false	𬳵字	駓字	domain-template	metalinguistic-fallback	古籍中用𬳵描述马匹。	古籍中用駓描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6748	3	驵	6748_1	駔	false	驵字	駔字	domain-template	metalinguistic-fallback	古籍中用驵描述马匹。	古籍中用駔描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6749	3	𬳶	6749_1	駉	false	𬳶字	駉字	domain-template	metalinguistic-fallback	古籍中用𬳶描述马匹。	古籍中用駉描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6750	3	䌹	6750_1	絅	false	䌹字	絅字	domain-template	metalinguistic-fallback	古代织物记录中出现了䌹。	古代織物記錄中出現了絅。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6751	3	驺	6751_1	騶	false	驺从	騶從	authored-example	project-authored	驺从是一个较少见的词语。	騶從是一個較少見的詞語。		lexical-context
6752	3	𫠊	6752_1	䮄	false	𫠊字	䮄字	domain-template	metalinguistic-fallback	古籍中用𫠊描述马匹。	古籍中用䮄描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6753	3	绋	6753_1	紼	false	执绋	執紼	authored-example	project-authored	执绋是一个较少见的词语。	執紼是一個較少見的詞語。		lexical-context
6754	3	绐	6754_1	紿	false	绐字	紿字	domain-template	metalinguistic-fallback	古代织物记录中出现了绐。	古代織物記錄中出現了紿。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6761	3	𬍛	6761_1	瓅	false	玓𬍛	玓瓅	authored-example	project-authored	玓𬍛是一个较少见的词语。	玓瓅是一個較少見的詞語。		lexical-context
6766	3	韨	6766_1	韍	false	韨字	韍字	domain-template	metalinguistic-fallback	古代礼制记载中出现了韨。	古代禮制記載中出現了韍。	Ancient ritual and material culture: a rare character associated with ceremony, offerings, dress, or ritual objects.	domain-template
6768	3	垯	6768_1	墶	false	榆木圪垯	榆木圪墶	authored-example	project-authored	榆木圪垯是一个较少见的词语。	榆木圪墶是一個較少見的詞語。		lexical-context
6770	3	垲	6770_1	塏	false	垲字	塏字	domain-template	metalinguistic-fallback	地方志中记载了垲。	地方志中記載了塏。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6785	3	荙	6785_1	薘	false	荙字	薘字	domain-template	metalinguistic-fallback	本草书中记载了荙。	本草書中記載了薘。	Botany / traditional materia medica: a rare character used in a plant name or botanical description.	domain-template
6786	3	荛	6786_1	蕘	false	刍荛	芻蕘	authored-example	project-authored	刍荛是一个较少见的词语。	芻蕘是一個較少見的詞語。		lexical-context
6791	3	𬜬	6791_1	蔄	false	𬜬字	蔄字	domain-template	metalinguistic-fallback	本草书中记载了𬜬。	本草書中記載了蔄。	Botany / traditional materia medica: a rare character used in a plant name or botanical description.	domain-template
6796	3	荭	6796_1	葒	false	荭字	葒字	domain-template	metalinguistic-fallback	本草书中记载了荭。	本草書中記載了葒。	Botany / traditional materia medica: a rare character used in a plant name or botanical description.	domain-template
6806	3	䴓	6806_1	鳾	false	丽䴓	麗鳾	authored-example	project-authored	丽䴓是一个较少见的词语。	麗鳾是一個較少見的詞語。		lexical-context
6814	3	䶮	6814_1	龑	false	䶮字	龑字	domain-template	metalinguistic-fallback	古代玉器或人名记录中可见䶮。	古代玉器或人名記錄中可見龑。	Jade terminology / personal names: a rare character associated with jade, ornament, or name usage.	domain-template
6815	3	轵	6815_1	軹	false	轵字	軹字	domain-template	metalinguistic-fallback	古代车辆记录中出现了轵。	古代車輛記錄中出現了軹。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6816	3	轷	6816_1	軤	false	轷字	軤字	domain-template	metalinguistic-fallback	古代车辆记录中出现了轷。	古代車輛記錄中出現了軤。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6817	3	轹	6817_1	轢	false	凌轹	凌轢	authored-example	project-authored	凌轹是一个较少见的词语。	凌轢是一個較少見的詞語。		lexical-context
6818	3	轺	6818_1	軺	false	轺字	軺字	domain-template	metalinguistic-fallback	古代车辆记录中出现了轺。	古代車輛記錄中出現了軺。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6820	3	𪾢	6820_1	睍	false	𪾢字	睍字	domain-template	metalinguistic-fallback	古文中可见𪾢。	古文中可見睍。	Classical Chinese vocabulary: a rare character used in older descriptions of people, actions, states, sounds, or qualities.	domain-template
6821	3	昽	6821_1	曨	false	昽字	曨字	domain-template	metalinguistic-fallback	古文中用昽描写光线或天气。	古文中用曨描寫光線或天氣。	Classical descriptions of light or weather: a rare character associated with brightness, sky conditions, or atmospheric movement.	domain-template
6827	3	哒	6827_1	噠	false	哒嗪	噠嗪	authored-example	project-authored	哒嗪是一种材料或化学物质。	噠嗪是一種材料或化學物質。		lexical-context
6843	3	钘	6843_1	鈃	false	钘字	鈃字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见钘。	金屬器物或技術資料中可見鈃。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6844	3	𫓧	6844_1	鈇	false	𫓧字	鈇字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见𫓧。	金屬器物或技術資料中可見鈇。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6845	3	钜	6845_1	鉅	false	钜子	鉅子	authored-example	project-authored	钜子是一种器物。	鉅子是一種器物。		lexical-context
6846	3	𬬮	6846_1	鋹	false	𬬮字	鋹字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见𬬮。	金屬器物或技術資料中可見鋹。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6847	3	𬬱	6847_1	釿	false	𬬱字	釿字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见𬬱。	金屬器物或技術資料中可見釿。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6848	3	𬬭	6848_1	錀	false	𬬭字	錀字	domain-template	metalinguistic-fallback	金属器物或技术资料中可见𬬭。	金屬器物或技術資料中可見錀。	Metallurgy / historical material culture: a rare metal-radical character used for a metal, tool, weapon, vessel, ornament, or technical term.	domain-template
6849	3	钪	6849_1	鈧	false	钪字	鈧字	element-domain	metalinguistic-fallback	实验记录中提到了钪。	實驗記錄中提到了鈧。	Chemistry: scandium, a chemical element represented by this character in Chinese technical terminology.	element-domain
6850	3	钬	6850_1	鈥	false	钬字	鈥字	element-domain	metalinguistic-fallback	实验记录中提到了钬。	實驗記錄中提到了鈥。	Chemistry: holmium, a chemical element represented by this character in Chinese technical terminology.	element-domain
6851	3	钭	6851_1	鈄	false	钭字	鈄字	curated-domain	metalinguistic-fallback	钭也可见于姓氏记录。	鈄也可見於姓氏記錄。	Surname and historical object terminology: a rare character used as a family name and in older metal-object vocabulary.	curated-domain
6854	3	俫	6854_1	倈	false	按俫	按倈	authored-example	project-authored	按俫是一个较少见的词语。	按倈是一個較少見的詞語。		lexical-context
6861	3	舣	6861_1	艤	false	南舣北驾	南艤北駕	authored-example	project-authored	南舣北驾是一个较少见的词语。	南艤北駕是一個較少見的詞語。		lexical-context
6864	3	鸧	6864_1	鶬	false	鸧鹒	鶬鶊	authored-example	project-authored	鸧鹒是一种鸟。	鶬鶊是一種鳥。		lexical-context
6872	3	飐	6872_1	颭	false	飐飐	颭颭	authored-example	project-authored	飐飐是一个较少见的词语。	颭颭是一個較少見的詞語。		lexical-context
6874	3	饻	6874_1	餏	false	饻字	餏字	domain-template	metalinguistic-fallback	地方食谱中提到了饻。	地方食譜中提到了餏。	Traditional or regional food vocabulary: a rare character used for a dish, food, or preparation.	domain-template
6886	3	浈	6886_1	湞	false	浈江区	湞江區	authored-example	project-authored	浈江区是一个地名。	湞江區是一個地名。		lexical-context
6887	3	浉	6887_1	溮	false	浉河	溮河	authored-example	project-authored	浉河是一个地名。	溮河是一個地名。		lexical-context
6895	3	浐	6895_1	滻	false	浐河	滻河	authored-example	project-authored	浐河是一个地名。	滻河是一個地名。		lexical-context
6903	3	袆	6903_1	褘	false	袆字	褘字	domain-template	metalinguistic-fallback	古代礼制记载中出现了袆。	古代禮制記載中出現了褘。	Ancient ritual and material culture: a rare character associated with ceremony, offerings, dress, or ritual objects.	domain-template
6917	3	绖	6917_1	絰	false	绖字	絰字	domain-template	metalinguistic-fallback	古代织物记录中出现了绖。	古代織物記錄中出現了絰。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6918	3	骃	6918_1	駰	false	骃字	駰字	domain-template	metalinguistic-fallback	古籍中用骃描述马匹。	古籍中用駰描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6919	3	𬘡	6919_1	絪	false	𬘡字	絪字	domain-template	metalinguistic-fallback	古代织物记录中出现了𬘡。	古代織物記錄中出現了絪。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6920	3	𬳽	6920_1	駪	false	𬳽字	駪字	domain-template	metalinguistic-fallback	古籍中用𬳽描述马匹。	古籍中用駪描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6921	3	𬘩	6921_1	綎	false	𬘩字	綎字	domain-template	metalinguistic-fallback	古代织物记录中出现了𬘩。	古代織物記錄中出現了綎。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6922	3	𫄧	6922_1	綖	false	𫄧字	綖字	domain-template	metalinguistic-fallback	古代织物记录中出现了𫄧。	古代織物記錄中出現了綖。	Traditional textiles / cordage: a rare character associated with fibres, silk, thread, rope, or textile production.	domain-template
6924	3	骉	6924_1	驫	false	骉字	驫字	domain-template	metalinguistic-fallback	古籍中用骉描述马匹。	古籍中用驫描述馬匹。	Historical transport / equine terminology: a rare character associated with horses, riding, or carriage travel.	domain-template
6932	3	𪟝	6932_1	勣	false	𪟝字	勣字	curated-domain	metalinguistic-fallback	史书称赞他的𪟝。	史書稱讚他的勣。	Classical administrative and biographical vocabulary: achievements, merit, or conduct deserving recognition.	curated-domain
6937	3	𬍤	6937_1	璕	false	𬍤字	璕字	domain-template	metalinguistic-fallback	古代玉器或人名记录中可见𬍤。	古代玉器或人名記錄中可見璕。	Jade terminology / personal names: a rare character associated with jade, ornament, or name usage.	domain-template
6941	3	𫭼	6941_1	𡑍	false	𫭼字	𡑍字	domain-template	metalinguistic-fallback	地方志中记载了𫭼。	地方志中記載了𡑍。	Historical geography / topography: a rare character used for terrain, a structure, or a place name.	domain-template
6951	3	𬜯	6951_1	䓣	false	𬜯字	䓣字	domain-template	metalinguistic-fallback	本草书中记载了𬜯。	本草書中記載了䓣。	Botany / traditional materia medica: a rare character used in a plant name or botanical description.	domain-template
6953	3	莶	6953_1	薟	false	豨莶草	豨薟草	authored-example	project-authored	豨莶草是一种植物。	豨薟草是一種植物。		lexical-context
6955	3	䓖	6955_1	藭	false	芎䓖	芎藭	authored-example	project-authored	芎䓖是一种植物。	芎藭是一種植物。		lexical-context
6958	3	桠	6958_1	椏	false	枝桠	枝椏	authored-example	project-authored	枝桠是一个较少见的词语。	枝椏是一個較少見的詞語。		lexical-context
6959	3	𬂩	6959_1	梜	false	𬂩字	梜字	domain-template	metalinguistic-fallback	古代木器或植物记录中可见𬂩。	古代木器或植物記錄中可見梜。	Woodcraft / historical botany: a rare character associated with wood, a wooden object, or a plant name.	domain-template
6967	3	𫠆	6967_1	頍	false	𫠆字	頍字	curated-domain	metalinguistic-fallback	他听见呼声便𫠆首。	他聽見呼聲便頍首。	Classical body-action vocabulary: means to raise the head.	curated-domain
6972	3	硁	6972_1	硜	false	硁字	硜字	domain-template	metalinguistic-fallback	古代石材记录中出现了硁。	古代石材記錄中出現了硜。	Geology / historical stone terminology: a rare character associated with stone, rock, minerals, or their properties.	domain-template
6976	3	𨐈	6976_1	輄	false	𨐈字	輄字	domain-template	metalinguistic-fallback	古代车辆记录中出现了𨐈。	古代車輛記錄中出現了輄。	Historical transport technology: a rare character associated with a cart, carriage, wheel, or vehicle component.	domain-template
6977	3	辀	6977_1	輈	false	梁辀	梁輈	authored-example	project-authored	梁辀是一种器物。	梁輈是一種器物。		lexical-context
6978	3	辁	6978_1	輇	false	辁才	輇才	authored-example	project-authored	辁才是一个较少见的词语。	輇才是一個較少見的詞語。		lexical-context
6981	3	赀	6981_1	貲	false	不赀	不貲	authored-example	project-authored	不赀是一个较少见的词语。	不貲是一個較少見的詞語。		lexical-context
6985	3	唝	6985_1	嗊	false	唝吥	嗊吥	authored-example	project-authored	唝吥是一个较少见的词语。	嗊吥是一個較少見的詞語。		lexical-context
6989	3	晔	6989_1	曄	false	范晔	范曄	authored-example	project-authored	范晔是一个人名。	范曄是一個人名。		lexical-context
6991	3	晖	6991_1	暉	false	余晖	餘暉	authored-example	project-authored	余晖是一个较少见的词语。	餘暉是一個較少見的詞語。		lexical-context
6995	3	𫑡	6995_1	鄳	false	𫑡字	鄳字	domain-template	metalinguistic-fallback	地方志中以𫑡记录地名。	地方志中以鄳記錄地名。	Historical geography: a rare character used in an old place name, administrative name, or surname.	domain-template
