order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
21	7144_1	贝壳	貝殼	bèi ké		shell	这只贝壳的厣很完整。	這隻貝殼的厴很完整。	preexisting			CC-CEDICT	
22	7161_1	容貌	容貌	róng mào		one's appearance	古文赞其容貌𬱖美。	古文讚其容貌頔美。	preexisting			CC-CEDICT	
23	7336_1	酦酵	醱酵	fā jiào	pò xiào	fermentation	酦酵是一种材料或化学物质。	醱酵是一種材料或化學物質。	authored	level-3/7336_1	酦酵是一种材料或化学物质。	CC-CEDICT	Taiwan MOE Concise Dictionary
24	7406_1	水生	水生	shuǐ shēng		aquatic	鲃鱼是一种鱼类或水生动物。	䰾魚是一種魚類或水生動物。	authored	level-3/7406_1	鲃鱼是一种鱼类或水生动物。	CC-CEDICT	
25	7414_1	出发	出發	chū fā		to set off	军队出发前先𫷷备车马。	軍隊出發前先廞備車馬。	preexisting			CC-CEDICT	
26	7414_1	车马	車馬	chē mǎ		vehicles and horses	军队出发前先𫷷备车马。	軍隊出發前先廞備車馬。	preexisting			CC-CEDICT	
27	7458_1	举火	舉火	jǔ huǒ		to light a fire	束缊举火是一个成语或固定说法。	束緼舉火是一個成語或固定說法。	authored	level-3/7458_1	束缊举火是一个成语或固定说法。	CC-CEDICT	
28	7503_1	文献	文獻	wén xiàn		reference material	传统饮食文献中出现了𬪩。	傳統飲食文獻中出現了醲。	preexisting			CC-CEDICT	
29	7526_1	丧礼	喪禮	sāng lǐ		funeral	古代丧礼中有赗赠礼。	古代喪禮中有賵贈禮。	preexisting			CC-CEDICT	
30	7579_1	楼上	樓上	lóu shàng		upstairs	楼上的阘已经关好。	樓上的闒已經關好。	preexisting			CC-CEDICT	
31	7602_1	服饰	服飾	fú shì		apparel	古代服饰记录中出现了𫌀。	古代服飾記錄中出現了襀。	preexisting			CC-CEDICT	
32	7683_1	罚锾	罰鍰	fá huán		a fine	罚锾是一个较少见的词语。	罰鍰是一個較少見的詞語。	authored	level-3/7683_1	罚锾是一个较少见的词语。	CC-CEDICT	
33	7786_1	皇甫	皇甫	huáng fǔ		two-character surname Huangfu	皇甫镈是一个人名。	皇甫鎛是一個人名。	authored	level-3/7786_1	皇甫镈是一个人名。	CC-CEDICT	
34	7811_1	鲽鹣	鰈鶼	dié jiān		harmonious and affectionate couple	鲽鹣是一个较少见的词语。	鰈鶼是一個較少見的詞語。	authored	level-3/7811_1	鲽鹣是一个较少见的词语。	CC-CEDICT	
35	7878_1	族谱	族譜	zú pǔ		genealogical record	族谱中记载了篯姓。	族譜中記載了籛姓。	preexisting			CC-CEDICT	
36	7885_1	鲭鱼	鯖魚	qīng yú		mackerel	鲭鱼是一种鱼类或水生动物。	鯖魚是一種魚類或水生動物。	authored	level-3/7885_1	鲭鱼是一种鱼类或水生动物。	CC-CEDICT	
37	7912_1	黉舍	黌舍	hóng shè		school building	黉舍是一种器物。	黌舍是一種器物。	authored	level-3/7912_1	黉舍是一种器物。	CC-CEDICT	
38	7983_1	考古	考古	kǎo gǔ		archaeology	考古记录中提到了鬶。	考古記錄中提到了鬹。	preexisting			CC-CEDICT	
39	8049_1	武士	武士	wǔ shì		warrior	武士彟是一个人名。	武士彠是一個人名。	authored	level-3/8049_1	武士彟是一个人名。	CC-CEDICT	
