number	principal_radical	prompt	english	hanyu_pinyin	strokes	attached_forms
119	皮	皮	skin	pí	5	
120	癶	癶	footsteps	bō	5	
121	矛	矛	spear	máo	5	
122	耒	耒	plough	lěi	6	
123	老	老	old	lǎo	6	耂
124	耳	耳	ear	ěr	6	
125	臣	臣	minister	chén	6	
126	覀	覀	west	yà	6	襾、西
127	而	而	and	ér	6	
128	页	页	leaf	yè	6	頁
129	至	至	arrive	zhì	6	
130	虍	虍	tiger	hū	6	虎
131	虫	虫	insect	chóng	6	
132	肉	肉	meat	ròu	6	
133	缶	缶	jar	fǒu	6	
134	舌	舌	tongue	shé	6	
135	竹	竹	bamboo	zhú	6	⺮
136	臼	臼	mortar	jiù	6	⺽
137	自	自	oneself	zì	6	
138	血	血	blood	xuè	6	
139	舟	舟	boat	zhōu	6	
140	色	色	colour	sè	6	
141	齐	齐	even	qí	6	齊
142	衣	衣	clothes	yī	6	衤
143	羊	羊	sheep	yáng	6	⺶、⺷
144	米	米	rice	mǐ	6	
145	聿	聿	brush	yù	6	肀、⺻
146	艮	艮	stopping	gèn	6	
147	羽	羽	feather	yǔ	6	
148	糸	糸	silk	mì	6	纟、糹
149	麦	麦	wheat	mài	7	麥
150	走	走	walk	zǒu	7	
151	赤	赤	red	chì	7	
152	豆	豆	bean	dòu	7	
153	酉	酉	wine	yǒu	7	
154	辰	辰	morning	chén	7	
155	豕	豕	pig	shǐ	7	
156	卤	卤	salt	lǔ	7	鹵
157	里	里	village	lǐ	7	
158	足	足	foot	zú	7	⻊
159	邑	邑	city	yì	7	阝（right）
160	身	身	body	shēn	7	
161	釆	釆	distinguish	biàn	7	
162	谷	谷	valley	gǔ	7	
163	豸	豸	badger	zhì	7	
164	龟	龟	turtle	guī	7	龜
165	角	角	horn	jiǎo	7	
166	言	言	speech	yán	7	讠
167	辛	辛	bitter	xīn	7	
168	青	青	blue	qīng	8	
169	龺	龺	component used in 卓	zhuó	8	
170	雨	雨	rain	yǔ	8	
171	非	非	wrong	fēi	8	
172	齿	齿	tooth	chǐ	8	齒
173	黾	黾	frog	mǐn	8	黽
174	隹	隹	short-tailed bird	zhuī	8	
175	阜	阜	mound	fù	8	阝（left）
176	金	金	metal	jīn	8	钅
177	鱼	鱼	fish	yú	8	魚
178	隶	隶	slave	lì	8	
179	革	革	leather	gé	9	
180	面	面	face	miàn	9	
181	韭	韭	leek	jiǔ	9	
182	骨	骨	bone	gǔ	9	
183	香	香	fragrant	xiāng	9	
184	鬼	鬼	ghost	guǐ	9	
185	食	食	eat	shí	9	饣、飠
186	音	音	sound	yīn	9	
187	首	首	head	shǒu	9	
188	髟	髟	long hair	biāo	10	
189	鬲	鬲	cauldron	lì	10	
190	鬥	斗 (simplified form of 鬥)	struggle	dòu	4	
191	高	高	high	gāo	10	
192	黄	黄	yellow	huáng	11	黃
193	麻	麻	hemp	má	11	
194	鹿	鹿	deer	lù	11	
195	鼎	鼎	tripod	dǐng	12	
196	黑	黑	black	hēi	12	
197	黍	黍	millet	shǔ	12	
198	鼓	鼓	drum	gǔ	13	
199	鼠	鼠	rat	shǔ	13	
200	鼻	鼻	nose	bí	14	
201	龠	龠	flute	yuè	17	
