order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
12	3537_1	先生	先生	xiān sheng	xiān shēng	teacher	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	Taiwan MOE Concise Dictionary
13	3537_1	主持	主持	zhǔ chí		to take charge of	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	
14	3537_1	起草	起草	qǐ cǎo		to make a draft	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	
15	3537_1	草案	草案	cǎo àn		draft	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	leipzig	zho_news_2020_300K:165137	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	CC-CEDICT	
16	3550_1	反刍	反芻	fǎn chú		to ruminate	牛是一种反刍类的哺乳动物。	牛是一種反芻類的哺乳動物。	tatoeba	1551891	牛是一种反刍类的哺乳动物。	CC-CEDICT	
17	3550_1	哺乳	哺乳	bǔ rǔ		breastfeeding	牛是一种反刍类的哺乳动物。	牛是一種反芻類的哺乳動物。	tatoeba	1551891	牛是一种反刍类的哺乳动物。	CC-CEDICT	
18	3551_1	人名	人名	rén míng		personal name	邝天雄是一个人名。	鄺天雄是一個人名。	authored	level-2/3551_1	邝天雄是一个人名。	CC-CEDICT	
19	3554_1	辱骂	辱罵	rǔ mà	rù mà	to insult	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。	無論是出於哪一種心理，辱罵、攻訐、造謠明星都是不可取的。	leipzig	zho_news_2020_300K:170953	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。	CC-CEDICT	Taiwan MOE Concise Dictionary
20	3554_1	造谣	造謠	zào yáo		to start a rumor	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。	無論是出於哪一種心理，辱罵、攻訐、造謠明星都是不可取的。	leipzig	zho_news_2020_300K:170953	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。	CC-CEDICT	
21	3555_1	内讧	內訌	nèi hòng	nèi hóng	internal strife	他们开始内讧了。	他們開始內訌了。	tatoeba	1409086	他们开始内讧了。	CC-CEDICT	Taiwan MOE Concise Dictionary
22	3556_1	酒吧	酒吧	jiǔ bā		bar	在酒吧有没有美女找你搭讪？	在酒吧有沒有美女找你搭訕？	tatoeba	1806670	在酒吧有没有美女找你搭讪？	CC-CEDICT	
23	3556_1	美女	美女	měi nǚ		beautiful woman	在酒吧有没有美女找你搭讪？	在酒吧有沒有美女找你搭訕？	tatoeba	1806670	在酒吧有没有美女找你搭讪？	CC-CEDICT	
24	3557_1	流行	流行	liú xíng		to spread	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、	leipzig	zho_wikipedia_2018_1M:228035	其流行期的起讫，集中出现在狂热个人崇拜、	CC-CEDICT	
25	3557_1	起讫	起訖	qǐ qì		beginning and end	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、	leipzig	zho_wikipedia_2018_1M:228035	其流行期的起讫，集中出现在狂热个人崇拜、	CC-CEDICT	
26	3557_1	集中	集中	jí zhōng		to concentrate	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、	leipzig	zho_wikipedia_2018_1M:228035	其流行期的起讫，集中出现在狂热个人崇拜、	CC-CEDICT	
27	3557_1	狂热	狂熱	kuáng rè		zealotry	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、	leipzig	zho_wikipedia_2018_1M:228035	其流行期的起讫，集中出现在狂热个人崇拜、	CC-CEDICT	
28	3557_1	个人	個人	gè rén		an individual	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、	leipzig	zho_wikipedia_2018_1M:228035	其流行期的起讫，集中出现在狂热个人崇拜、	CC-CEDICT	
29	3562_1	适当	適當	shì dàng		suitable	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	tatoeba	13610551	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	CC-CEDICT	
30	3562_1	狼狗	狼狗	láng gǒu		wolfdog	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	tatoeba	13610551	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	CC-CEDICT	
31	3562_1	足以	足以	zú yǐ		sufficient to...	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	tatoeba	13610551	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	CC-CEDICT	
32	3562_1	一般	一般	yī bān		same	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	tatoeba	13610551	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	CC-CEDICT	
33	3562_1	饲主	飼主	sì zhǔ		pet owner	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	tatoeba	13610551	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	CC-CEDICT	
34	3562_1	驾驭	駕馭	jià yù		to urge on	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	tatoeba	13610551	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	CC-CEDICT	
35	3566_1	天玑	天璣	tiān jī		Phecda	天玑是一颗恒星。	天璣是一顆恆星。	authored	level-2/3566_1	天玑是一颗恒星。	CC-CEDICT	
36	3566_1	恒星	恆星	héng xīng		star	天玑是一颗恒星。	天璣是一顆恆星。	authored	level-2/3566_1	天玑是一颗恒星。	CC-CEDICT	
37	3574_1	词语	詞語	cí yǔ		word	川圹是一个较少见的词语。	川壙是一個較少見的詞語。	authored	level-2/3574_1	川圹是一个较少见的词语。	CC-CEDICT	
38	3584_1	市区	市區	shì qū		urban district	芗城区还有市区环城河以及大小河塘。	薌城區還有市區環城河以及大小河塘。	leipzig	zho_wikipedia_2018_1M:833326	芗城区还有市区环城河以及大小河塘。	CC-CEDICT	
39	3584_1	以及	以及	yǐ jí		and	芗城区还有市区环城河以及大小河塘。	薌城區還有市區環城河以及大小河塘。	leipzig	zho_wikipedia_2018_1M:833326	芗城区还有市区环城河以及大小河塘。	CC-CEDICT	
40	3584_1	大小	大小	dà xiǎo		large and small	芗城区还有市区环城河以及大小河塘。	薌城區還有市區環城河以及大小河塘。	leipzig	zho_wikipedia_2018_1M:833326	芗城区还有市区环城河以及大小河塘。	CC-CEDICT	
41	3607_1	后台	後臺	hòu tái		backstage area	他仗着后台硬，为虎作伥，鱼肉乡里。	他仗著後臺硬，為虎作倀，魚肉鄉里。	leipzig	zho_news_2020_300K:37620	他仗着后台硬，为虎作伥，鱼肉乡里。	CC-CEDICT	
42	3607_1	鱼肉	魚肉	yú ròu		flesh of fish	他仗着后台硬，为虎作伥，鱼肉乡里。	他仗著後臺硬，為虎作倀，魚肉鄉里。	leipzig	zho_news_2020_300K:37620	他仗着后台硬，为虎作伥，鱼肉乡里。	CC-CEDICT	
43	3607_1	乡里	鄉里	xiāng lǐ		one's home town or village	他仗着后台硬，为虎作伥，鱼肉乡里。	他仗著後臺硬，為虎作倀，魚肉鄉里。	leipzig	zho_news_2020_300K:37620	他仗着后台硬，为虎作伥，鱼肉乡里。	CC-CEDICT	
44	3608_1	寒伧	寒傖	hán chen	hán cāng	shabby; unsightly	寒伧是一个描写性质或状态的词。	寒傖是一個描寫性質或狀態的詞。	authored	level-2/3608_1	寒伧是一个描写性质或状态的词。	CC-CEDICT	Taiwan MOE Concise Dictionary
45	3608_1	性质	性質	xìng zhì	xìng zhí	nature	寒伧是一个描写性质或状态的词。	寒傖是一個描寫性質或狀態的詞。	authored	level-2/3608_1	寒伧是一个描写性质或状态的词。	CC-CEDICT	Taiwan MOE Concise Dictionary
46	3617_1	石阶	石階	shí jiē		stone step	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。	leipzig	zho_news_2020_300K:224690	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	CC-CEDICT	
47	3617_1	数百	數百	shù bǎi		several hundred	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。	leipzig	zho_news_2020_300K:224690	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	CC-CEDICT	
48	3617_1	陡峭	陡峭	dǒu qiào		precipitous	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。	leipzig	zho_news_2020_300K:224690	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	CC-CEDICT	
49	3617_1	泰山	泰山	tài shān		Mt Tai in Shandong	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。	leipzig	zho_news_2020_300K:224690	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	CC-CEDICT	
50	3617_1	十八	十八	shí bā		eighteen	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。	leipzig	zho_news_2020_300K:224690	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	CC-CEDICT	
51	3618_1	近似	近似	jìn sì		to approximate	，結果產生的樣本近似于真正的猛犸象細胞。	，結果產生的樣本近似於真正的猛獁象細胞。	leipzig	zho_wikipedia_2018_1M:780163	，結果產生的樣本近似于真正的猛犸象細胞。	CC-CEDICT	
52	3620_1	凫水	鳬水	fú shuǐ		to swim	凫水表示游水。	鳬水表示游水。	authored	level-2/3620_1	凫水表示游水。	CC-CEDICT	
53	3622_1	动作	動作	dòng zuò		movement	饧面表示一种动作。	餳麵表示一種動作。	authored	level-2/3622_1	饧面表示一种动作。	CC-CEDICT	
54	3630_1	犯错	犯錯	fàn cuò		to err	犯错出忏悔心，才能清净无烦恼。	犯錯出懺悔心，才能清淨無煩惱。	tatoeba	838375	犯錯出懺悔心，才能清淨無煩惱。	CC-CEDICT	
55	3630_1	忏悔	懺悔	chàn huǐ		to repent	犯错出忏悔心，才能清净无烦恼。	犯錯出懺悔心，才能清淨無煩惱。	tatoeba	838375	犯錯出懺悔心，才能清淨無煩惱。	CC-CEDICT	
56	3631_1	一向	一向	yī xiàng		a period of time in the recent past	容若一向讴歌爱情，字字句句都是爱情的悲唱。	容若一向謳歌愛情，字字句句都是愛情的悲唱。	leipzig	zho_news_2020_300K:124834	容若一向讴歌爱情，字字句句都是爱情的悲唱。	CC-CEDICT	
57	3631_1	讴歌	謳歌	ōu gē		to celebrate in song	容若一向讴歌爱情，字字句句都是爱情的悲唱。	容若一向謳歌愛情，字字句句都是愛情的悲唱。	leipzig	zho_news_2020_300K:124834	容若一向讴歌爱情，字字句句都是爱情的悲唱。	CC-CEDICT	
58	3631_1	字句	字句	zì jù		words	容若一向讴歌爱情，字字句句都是爱情的悲唱。	容若一向謳歌愛情，字字句句都是愛情的悲唱。	leipzig	zho_news_2020_300K:124834	容若一向讴歌爱情，字字句句都是爱情的悲唱。	CC-CEDICT	
59	3632_1	成语	成語	chéng yǔ		idiom	讵非所料是一个成语或固定说法。	詎非所料是一個成語或固定說法。	authored	level-2/3632_1	讵非所料是一个成语或固定说法。	CC-CEDICT	
60	3632_1	固定	固定	gù dìng		to fix	讵非所料是一个成语或固定说法。	詎非所料是一個成語或固定說法。	authored	level-2/3632_1	讵非所料是一个成语或固定说法。	CC-CEDICT	
61	3644_1	纡尊降贵	紆尊降貴	yū zūn jiàng guì		to condescend	纡尊降贵是一个成语或固定说法。	紆尊降貴是一個成語或固定說法。	authored	level-2/3644_1	纡尊降贵是一个成语或固定说法。	CC-CEDICT	
62	3645_1	现实	現實	xiàn shí		reality	然而，现实情况却是网络霸凌“助纣为虐”。	然而，現實情況卻是網路霸凌“助紂為虐”。	leipzig	zho_news_2020_300K:207647	然而，现实情况却是网络霸凌“助纣为虐”。	CC-CEDICT	
63	3646_1	清楚	清楚	qīng chu	qīng chǔ	clear	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	要說清楚這個問題，首先我們就要說下維吾爾族的先祖回紇。	leipzig	zho_news_2020_300K:256849	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	CC-CEDICT	Taiwan MOE Concise Dictionary
64	3646_1	维吾尔	維吾爾	wéi wú ěr		Uyghur ethnic group	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	要說清楚這個問題，首先我們就要說下維吾爾族的先祖回紇。	leipzig	zho_news_2020_300K:256849	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	CC-CEDICT	
65	3646_1	先祖	先祖	xiān zǔ		my deceased grandfather	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	要說清楚這個問題，首先我們就要說下維吾爾族的先祖回紇。	leipzig	zho_news_2020_300K:256849	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	CC-CEDICT	
66	3646_1	回纥	回紇	huí hé		Huihe	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	要說清楚這個問題，首先我們就要說下維吾爾族的先祖回紇。	leipzig	zho_news_2020_300K:256849	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	CC-CEDICT	
67	3647_1	形似	形似	xíng sì		similar in shape and appearance	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	扇面多是桃形，形似紈扇，是用細如絹絲的竹絲精心編織而成的。	leipzig	zho_wikipedia_2018_1M:529101	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	CC-CEDICT	
68	3647_1	精心	精心	jīng xīn		with utmost care	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	扇面多是桃形，形似紈扇，是用細如絹絲的竹絲精心編織而成的。	leipzig	zho_wikipedia_2018_1M:529101	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	CC-CEDICT	
69	3647_1	编织	編織	biān zhī		to weave	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	扇面多是桃形，形似紈扇，是用細如絹絲的竹絲精心編織而成的。	leipzig	zho_wikipedia_2018_1M:529101	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	CC-CEDICT	
70	3649_1	玉器	玉器	yù qì		jade artifact	古代玉器记载中提到了玙。	古代玉器記載中提到了璵。	preexisting			CC-CEDICT	
71	3649_1	提到	提到	tí dào		to mention	古代玉器记载中提到了玙。	古代玉器記載中提到了璵。	preexisting			CC-CEDICT	
72	3655_1	好莱坞	好萊塢	hǎo lái wù		Hollywood	好莱坞不是以前的样子了。	好萊塢不是以前的樣子了。	tatoeba	883466	好萊塢不是以前的樣子了。	CC-CEDICT	
73	3658_1	他用	他用	tā yòng		other use	他用手㧐住了木架。	他用手㩳住了木架。	preexisting			CC-CEDICT	
74	3661_0	作物	作物	zuò wù		crop	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	經濟作物有亞麻、大麻、芸豆、向日葵、白瓜子等。	leipzig	zho_wikipedia_2018_1M:787543	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	CC-CEDICT	
75	3661_0	亚麻	亞麻	yà má		flax	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	經濟作物有亞麻、大麻、芸豆、向日葵、白瓜子等。	leipzig	zho_wikipedia_2018_1M:787543	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	CC-CEDICT	
76	3661_0	大麻	大麻	dà má		hemp	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	經濟作物有亞麻、大麻、芸豆、向日葵、白瓜子等。	leipzig	zho_wikipedia_2018_1M:787543	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	CC-CEDICT	
77	3661_0	瓜子	瓜子	guā zǐ		melon seed	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	經濟作物有亞麻、大麻、芸豆、向日葵、白瓜子等。	leipzig	zho_wikipedia_2018_1M:787543	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	CC-CEDICT	
78	3676_1	苎麻	苧麻	zhù má		ramie	；苎麻种植面积51万亩，占全国的30%。	；苧麻種植面積51萬畝，佔全國的30%。	leipzig	zho_wikipedia_2018_1M:834033	；苎麻种植面积51万亩，占全国的30%。	CC-CEDICT	
79	3676_1	种植	種植	zhòng zhí		to plant	；苎麻种植面积51万亩，占全国的30%。	；苧麻種植面積51萬畝，佔全國的30%。	leipzig	zho_wikipedia_2018_1M:834033	；苎麻种植面积51万亩，占全国的30%。	CC-CEDICT	
80	3686_1	洛杉矶	洛杉磯	luò shān jī		Los Angeles	我应该取消我到洛杉矶的旅行。	我應該取消我到洛杉磯的旅行。	tatoeba	4267353	我应该取消我到洛杉矶的旅行。	CC-CEDICT	
81	3687_1	匿名	匿名	nì míng		anonymous	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。	leipzig	zho_wikipedia_2018_1M:953815	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	CC-CEDICT	
82	3687_1	丰厚	豐厚	fēng hòu		generous	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。	leipzig	zho_wikipedia_2018_1M:953815	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	CC-CEDICT	
83	3687_1	妆奁	妝奩	zhuāng lián		trousseau	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。	leipzig	zho_wikipedia_2018_1M:953815	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	CC-CEDICT	
84	3687_1	坚决	堅決	jiān jué		firm	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。	leipzig	zho_wikipedia_2018_1M:953815	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	CC-CEDICT	
85	3687_1	退回	退回	tuì huí		to return	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。	leipzig	zho_wikipedia_2018_1M:953815	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	CC-CEDICT	
86	3690_1	此事	此事	cǐ shì		this matter	此事可行欤？	此事可行歟？	preexisting			CC-CEDICT	
87	3690_1	可行	可行	kě xíng		feasible	此事可行欤？	此事可行歟？	preexisting			CC-CEDICT	
88	3691_1	武装	武裝	wǔ zhuāng		arms	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	leipzig	zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	CC-CEDICT	
89	3691_1	农村	農村	nóng cūn		rural area	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	leipzig	zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	CC-CEDICT	
90	3691_1	包围	包圍	bāo wéi		to surround	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	leipzig	zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	CC-CEDICT	
91	3691_1	历程	曆程	lì chéng		course	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	leipzig	zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	CC-CEDICT	
92	3691_1	由此	由此	yóu cǐ		hereby	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	leipzig	zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	CC-CEDICT	
93	3691_1	发轫	發軔	fā rèn		to set afoot	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	leipzig	zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	CC-CEDICT	
94	3696_1	其中	其中	qí zhōng		among	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	，其中玄武、鼓樓、秦淮、建鄴、棲霞和雨花臺等六區被稱為主城區。	leipzig	zho_wikipedia_2018_1M:219741	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	CC-CEDICT	
95	3696_1	玄武	玄武	xuán wǔ		Black Tortoise	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	，其中玄武、鼓樓、秦淮、建鄴、棲霞和雨花臺等六區被稱為主城區。	leipzig	zho_wikipedia_2018_1M:219741	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	CC-CEDICT	
96	3696_1	花台	花臺	huā tái		flower bed	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	，其中玄武、鼓樓、秦淮、建鄴、棲霞和雨花臺等六區被稱為主城區。	leipzig	zho_wikipedia_2018_1M:219741	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	CC-CEDICT	
97	3700_1	微醺	微醺	wēi xūn	wéi xūn	tipsy	说是微醺里的呓语吧，人家也一本正经的文字。	說是微醺裡的囈語吧，人家也一本正經的文字。	leipzig	zho_news_2020_300K:264628	说是微醺里的呓语吧，人家也一本正经的文字。	CC-CEDICT	Taiwan MOE Concise Dictionary
98	3700_1	人家	人家	rén jiā		household	说是微醺里的呓语吧，人家也一本正经的文字。	說是微醺裡的囈語吧，人家也一本正經的文字。	leipzig	zho_news_2020_300K:264628	说是微醺里的呓语吧，人家也一本正经的文字。	CC-CEDICT	
