order	sentence_no	simplified	traditional	pinyin	meaning	simplified_sentence	traditional_sentence
67	18	绵延	綿延	mián yán	to stretch continuously	群山绵延到视线尽头。	群山綿延到視線盡頭。
68	18	视线	視線	shì xiàn	line of sight	群山绵延到视线尽头。	群山綿延到視線盡頭。
69	18	尽头	盡頭	jìn tóu	end; limit	群山绵延到视线尽头。	群山綿延到視線盡頭。
70	19	阳光	陽光	yáng guāng	sunlight	阳光从窗帘的缝隙照进来。	陽光從窗簾的縫隙照進來。
71	19	窗帘	窗簾	chuāng lián	curtain	阳光从窗帘的缝隙照进来。	陽光從窗簾的縫隙照進來。
72	19	缝隙	縫隙	fèng xì	gap; crack	阳光从窗帘的缝隙照进来。	陽光從窗簾的縫隙照進來。
73	19	进来	進來	jìn lái	to come in	阳光从窗帘的缝隙照进来。	陽光從窗簾的縫隙照進來。
74	20	同学	同學	tóng xué	classmate; fellow student	同学们踊跃报名参加比赛。	同學們踴躍報名參加比賽。
75	20	踊跃	踴躍	yǒng yuè	eagerly; enthusiastically	同学们踊跃报名参加比赛。	同學們踴躍報名參加比賽。
76	20	报名	報名	bào míng	to sign up; register	同学们踊跃报名参加比赛。	同學們踴躍報名參加比賽。
77	20	参加	參加	cān jiā	to participate; join	同学们踊跃报名参加比赛。	同學們踴躍報名參加比賽。
78	20	比赛	比賽	bǐ sài	competition; match	同学们踊跃报名参加比赛。	同學們踴躍報名參加比賽。
