deck	direction	front	back	source_chapter	entry_type	notes
Chapter 16-20	Reading -> Japanese	Reading: はじまります	Meaning: begin\nJapanese: 始まります	16	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: end	Japanese: 終わります\nReading: おわります	16	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 終わります	Meaning: end\nReading: おわります	16	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: おわります	Meaning: end\nJapanese: 終わります	16	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: sleep; go to bed	Japanese: 寝ます\nReading: ねます	16	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 寝ます	Meaning: sleep; go to bed\nReading: ねます	16	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: ねます	Meaning: sleep; go to bed\nJapanese: 寝ます	16	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: won't you; shall we	Japanese: ませんか\nReading: ませんか	17	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: ませんか	Meaning: won't you; shall we\nReading: ませんか	17	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: ませんか	Meaning: won't you; shall we\nJapanese: ませんか	17	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: together	Japanese: 一緒に\nReading: いっしょに	17	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 一緒に	Meaning: together\nReading: いっしょに	17	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: いっしょに	Meaning: together\nJapanese: 一緒に	17	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: Sunday	Japanese: 日曜日\nReading: にちようび	17	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 日曜日	Meaning: Sunday\nReading: にちようび	17	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: にちようび	Meaning: Sunday\nJapanese: 日曜日	17	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: go out	Japanese: 出かけます\nReading: でかけます	17	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 出かけます	Meaning: go out\nReading: でかけます	17	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: でかけます	Meaning: go out\nJapanese: 出かけます	17	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: well then	Japanese: では\nReading: では	17	expression	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: では	Meaning: well then\nReading: では	17	expression	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: では	Meaning: well then\nJapanese: では	17	expression	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: meet	Japanese: 会います\nReading: あいます	17	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 会います	Meaning: meet\nReading: あいます	17	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: あいます	Meaning: meet\nJapanese: 会います	17	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: let's	Japanese: ましょう\nReading: ましょう	17	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: ましょう	Meaning: let's\nReading: ましょう	17	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: ましょう	Meaning: let's\nJapanese: ましょう	17	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: walk; stroll	Japanese: 散歩\nReading: さんぽ	17	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 散歩	Meaning: walk; stroll\nReading: さんぽ	17	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: さんぽ	Meaning: walk; stroll\nJapanese: 散歩	17	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: because	Japanese: から\nReading: から	18	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: から	Meaning: because\nReading: から	18	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: から	Meaning: because\nJapanese: から	18	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: weather	Japanese: 天気\nReading: てんき	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 天気	Meaning: weather\nReading: てんき	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: てんき	Meaning: weather\nJapanese: 天気	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: outside	Japanese: 外\nReading: そと	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 外	Meaning: outside\nReading: そと	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: そと	Meaning: outside\nJapanese: 外	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: cold (weather)	Japanese: 寒い\nReading: さむい	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 寒い	Meaning: cold (weather)\nReading: さむい	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: さむい	Meaning: cold (weather)\nJapanese: 寒い	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: warm	Japanese: 暖かい\nReading: あたたかい	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 暖かい	Meaning: warm\nReading: あたたかい	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: あたたかい	Meaning: warm\nJapanese: 暖かい	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: coat	Japanese: コート\nReading: コート	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: コート	Meaning: coat\nReading: コート	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: コート	Meaning: coat\nJapanese: コート	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: rain	Japanese: 雨\nReading: あめ	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 雨	Meaning: rain\nReading: あめ	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: あめ	Meaning: rain\nJapanese: 雨	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: umbrella	Japanese: 傘\nReading: かさ	18	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 傘	Meaning: umbrella\nReading: かさ	18	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: かさ	Meaning: umbrella\nJapanese: 傘	18	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: by; using	Japanese: で\nReading: で	19	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: で	Meaning: by; using\nReading: で	19	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: で	Meaning: by; using\nJapanese: で	19	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: hospital	Japanese: 病院\nReading: びょういん	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 病院	Meaning: hospital\nReading: びょういん	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: びょういん	Meaning: hospital\nJapanese: 病院	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: right	Japanese: 右\nReading: みぎ	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 右	Meaning: right\nReading: みぎ	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: みぎ	Meaning: right\nJapanese: 右	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: train	Japanese: 電車\nReading: でんしゃ	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 電車	Meaning: train\nReading: でんしゃ	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: でんしゃ	Meaning: train\nJapanese: 電車	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: bus	Japanese: バス\nReading: バス	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: バス	Meaning: bus\nReading: バス	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: バス	Meaning: bus\nJapanese: バス	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: walk	Japanese: 歩きます\nReading: あるきます	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 歩きます	Meaning: walk\nReading: あるきます	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: あるきます	Meaning: walk\nJapanese: 歩きます	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: intersection	Japanese: 交差点\nReading: こうさてん	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 交差点	Meaning: intersection\nReading: こうさてん	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: こうさてん	Meaning: intersection\nJapanese: 交差点	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: straight	Japanese: まっすぐ\nReading: まっすぐ	19	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: まっすぐ	Meaning: straight\nReading: まっすぐ	19	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: まっすぐ	Meaning: straight\nJapanese: まっすぐ	19	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: did; past polite	Japanese: ました\nReading: ました	20	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: ました	Meaning: did; past polite\nReading: ました	20	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: ました	Meaning: did; past polite\nJapanese: ました	20	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: yesterday	Japanese: 昨日\nReading: きのう	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 昨日	Meaning: yesterday\nReading: きのう	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: きのう	Meaning: yesterday\nJapanese: 昨日	20	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: Kyoto	Japanese: 京都\nReading: きょうと	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 京都	Meaning: Kyoto\nReading: きょうと	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: きょうと	Meaning: Kyoto\nJapanese: 京都	20	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: travel; trip	Japanese: 旅行\nReading: りょこう	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 旅行	Meaning: travel; trip\nReading: りょこう	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: りょこう	Meaning: travel; trip\nJapanese: 旅行	20	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: Buddhist temple	Japanese: お寺\nReading: おてら	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: お寺	Meaning: Buddhist temple\nReading: おてら	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: おてら	Meaning: Buddhist temple\nJapanese: お寺	20	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: souvenir	Japanese: お土産\nReading: おみやげ	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: お土産	Meaning: souvenir\nReading: おみやげ	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: おみやげ	Meaning: souvenir\nJapanese: お土産	20	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: saw; watched	Japanese: 見ました\nReading: みました	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 見ました	Meaning: saw; watched\nReading: みました	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: みました	Meaning: saw; watched\nJapanese: 見ました	20	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: bought	Japanese: 買いました\nReading: かいました	20	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 買いました	Meaning: bought\nReading: かいました	20	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: かいました	Meaning: bought\nJapanese: 買いました	20	vocabulary	Core review entry.
