mapping_code	source_type	source_id	simplified_word	traditional_word	simplified_sentence	traditional_sentence	source_sentence
3686_1	tatoeba	4267353	洛杉矶	洛杉磯	我应该取消我到洛杉矶的旅行。	我應該取消我到洛杉磯的旅行。	我应该取消我到洛杉矶的旅行。
3687_1	leipzig	zho_wikipedia_2018_1M:953815	妆奁	妝奩	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。
3691_1	leipzig	zho_news_2020_300K:132577	发轫	發軔	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。
3696_1	leipzig	zho_wikipedia_2018_1M:219741	建邺	建鄴	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	，其中玄武、鼓樓、秦淮、建鄴、棲霞和雨花臺等六區被稱為主城區。	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。
3699_1	authored	level-2/3699_1	呒没	嘸沒	呒没是一个较少见的词语。	嘸沒是一個較少見的詞語。	呒没是一个较少见的词语。
3700_1	leipzig	zho_news_2020_300K:264628	呓语	囈語	说是微醺里的呓语吧，人家也一本正经的文字。	說是微醺裡的囈語吧，人家也一本正經的文字。	说是微醺里的呓语吧，人家也一本正经的文字。
3704_1	authored	level-2/3704_1	旸谷	暘谷	旸谷是一个地名。	暘谷是一個地名。	旸谷是一个地名。
3708_1	leipzig	zho_wikipedia_2018_1M:281457	梵呗	梵唄	受其影响，歌赞梵呗也随着佛教传入中国。	受其影響，歌贊梵唄也隨著佛教傳入中國。	受其影响，歌赞梵呗也随着佛教传入中国。
3712_1	authored	level-2/3712_1	帏幕	幃幕	帏幕是一种器物。	幃幕是一種器物。	帏幕是一种器物。
3715_1	leipzig	zho_news_2020_300K:177508	岘港	峴港	最大的可能，航母是在越南岘港停泊时感染上的。	最大的可能，航母是在越南峴港停泊時感染上的。	最大的可能，航母是在越南岘港停泊时感染上的。
3717_1	leipzig	zho_wikipedia_2018_1M:608307	李岚清	李嵐清	李岚清副总理任内曾主持多个高校合并的案例。	李嵐清副總理任內曾主持多個高校合併的案例。	李岚清副总理任内曾主持多个高校合并的案例。
3719_1	leipzig	zho_wikipedia_2018_1M:68407	囫囵	囫圇	与猛兽不同，猛禽在进食时并不咀嚼猎物，大多是将猎物连皮毛带骨骼囫囵吞下。	與猛獸不同，猛禽在進食時並不咀嚼獵物，大多是將獵物連皮毛帶骨骼囫圇吞下。	与猛兽不同，猛禽在进食时并不咀嚼猎物，大多是将猎物连皮毛带骨骼囫囵吞下。
3721_1	leipzig	zho_news_2020_300K:140768	李大钊	李大釗	当时，李大钊每月的收入完全可以过上富裕的生活。	當時，李大釗每月的收入完全可以過上富裕的生活。	当时，李大钊每月的收入完全可以过上富裕的生活。
3723_1	authored	level-2/3723_1	钌铞儿	釕銱兒	钌铞儿是一种器物。	釕銱兒是一種器物。	钌铞儿是一种器物。
3738_1	authored	level-2/3738_1	佥同	僉同	佥同是一个较少见的词语。	僉同是一個較少見的詞語。	佥同是一个较少见的词语。
3748_1	leipzig	zho_wikipedia_2018_1M:759102	斑鸠	斑鳩	祭牲通常是母羊、羊羔或山羊，若力量不够，可用斑鸠或雏鸽等。	祭牲通常是母羊、羊羔或山羊，若力量不夠，可用斑鳩或雛鴿等。	祭牲通常是母羊、羊羔或山羊，若力量不够，可用斑鸠或雏鸽等。
3749_1	leipzig	zho_wikipedia_2018_1M:492391	邹容	鄒容	当天，炮台街更名为沧白路，新生路更名为邹容路。	當天，炮臺街更名為滄白路，新生路更名為鄒容路。	当天，炮台街更名为沧白路，新生路更名为邹容路。
3750_1	tatoeba	420336	馄饨	餛飩	一碗绉纱馄饨，皮儿薄得连肉也看得见！	一碗縐紗餛飩，皮兒薄得連肉也看得見！	一碗绉纱馄饨，皮儿薄得连肉也看得见！
3751_1	authored	level-2/3751_1	饔饩	饔餼	饔饩表示一种动作。	饔餼表示一種動作。	饔饩表示一种动作。
3752_1	tatoeba	487621	烹饪	烹飪	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	印度是一个烹饪文化丰富的地区。
3753_1	authored	level-2/3753_1	饫甘餍肥	飫甘饜肥	饫甘餍肥是一个成语或固定说法。	飫甘饜肥是一個成語或固定說法。	饫甘餍肥是一个成语或固定说法。
3754_1	leipzig	zho_wikipedia_2018_1M:534398	申饬	申飭	拜辞礼毕，上将起，复立而申饬者再四。	拜辭禮畢，上將起，復立而申飭者再四。	拜辞礼毕，上将起，复立而申饬者再四。
3756_1	leipzig	zho_wikipedia_2018_1M:485942	廊庑	廊廡	建筑底层中央是土台，四周有单坡的廊庑。	建築底層中央是土臺，四周有單坡的廊廡。	建筑底层中央是土台，四周有单坡的廊庑。
3759_1	leipzig	zho_news_2020_300K:14986	疖子	癤子	不少同志长疖子，生痱子，患阴囊炎。	不少同志長癤子，生痱子，患陰囊炎。	不少同志长疖子，生痱子，患阴囊炎。
3761_1	leipzig	zho_wikipedia_2018_1M:203446	秋闱	秋闈	光绪二十三年（1897年），15岁的蔡艮寅跟随樊锥赴秋闱（	光緒二十三年（1897年），15歲的蔡艮寅跟隨樊錐赴秋闈（	光绪二十三年（1897年），15岁的蔡艮寅跟随樊锥赴秋闱（
3762_1	authored	level-2/3762_1	面黄肌闳	面黃肌閎	面黄肌闳是一个较少见的词语。	面黃肌閎是一個較少見的詞語。	面黄肌闳是一个较少见的词语。
3763_1	leipzig	zho_wikipedia_2018_1M:315215	闵行区	閔行區	吴淞地区-浦东新区-闵行区-吴淞地区。	吳淞地區-浦東新區-閔行區-吳淞地區。	吴淞地区-浦东新区-闵行区-吴淞地区。
3765_1	leipzig	zho_news_2020_300K:290465	隋炀帝	隋煬帝	隋炀帝的荒淫无度，史上人尽皆知。	隋煬帝的荒淫無度，史上人盡皆知。	隋炀帝的荒淫无度，史上人尽皆知。
3766_1	authored	level-2/3766_1	沣水	灃水	沣水是一个地名。	灃水是一個地名。	沣水是一个地名。
3769_1	authored	level-2/3769_1	沤凼	漚凼	沤凼是一个较少见的词语。	漚凼是一個較少見的詞語。	沤凼是一个较少见的词语。
3781_1	leipzig	zho_news_2020_300K:213441	沩山	潙山	生于斯、长于斯的陈林经常思考，为什么沩山毛尖品质拔尖，但种植茶叶的茶农却不能脱贫致富？	生於斯、長於斯的陳林經常思考，為什麼潙山毛尖品質拔尖，但種植茶葉的茶農卻不能脫貧致富？	生于斯、长于斯的陈林经常思考，为什么沩山毛尖品质拔尖，但种植茶叶的茶农却不能脱贫致富？
3783_1	leipzig	zho_wikipedia_2018_1M:444062	怃然	憮然	宪宗得知万贞儿死后，怃然曰："万妃长去，吾亦安能久矣"。	憲宗得知萬貞兒死後，憮然曰："萬妃長去，吾亦安能久矣"。	宪宗得知万贞儿死后，怃然曰："万妃长去，吾亦安能久矣"。
3784_1	leipzig	zho_news_2020_300K:38138	怄气	慪氣	他们总说我们‘过火’，实在怄气要命。”	他們總說我們‘過火’，實在慪氣要命。”	他们总说我们‘过火’，实在怄气要命。”
3787_1	leipzig	zho_news_2020_300K:11489	同仇敌忾	同仇敵愾	一言以蔽之，赢取这场硬仗，靠的是同仇敌忾，众志成城。	一言以蔽之，贏取這場硬仗，靠的是同仇敵愾，眾志成城。	一言以蔽之，赢取这场硬仗，靠的是同仇敌忾，众志成城。
3788_1	leipzig	zho_news_2020_300K:195479	惆怅	惆悵	每每这个时候，我总倍感孤独与惆怅。	每每這個時候，我總倍感孤獨與惆悵。	每每这个时候，我总倍感孤独与惆怅。
3791_1	leipzig	zho_news_2020_300K:277575	悲怆	悲愴	这种笔调优雅悲怆，又具有沉郁凝重。	這種筆調優雅悲愴，又具有沉鬱凝重。	这种笔调优雅悲怆，又具有沉郁凝重。
3794_1	leipzig	zho_wikipedia_2018_1M:559363	训诂	訓詁	新训诂学是相对旧有的训诂学而言的。	新訓詁學是相對舊有的訓詁學而言的。	新训诂学是相对旧有的训诂学而言的。
3795_1	leipzig	zho_wikipedia_2018_1M:461413	契诃夫	契訶夫	尽管如此，契诃夫对父母始终非常孝顺。	儘管如此，契訶夫對父母始終非常孝順。	尽管如此，契诃夫对父母始终非常孝顺。
3796_1	tatoeba	5611463	诅咒	詛咒	她大声诅咒。	她大聲詛咒。	她大声诅咒。
3797_1	tatoeba	1358598	诋毁	詆毀	通过诋毁别人，你得不到什么。	透過詆毀別人，你得不到什麼。	通过诋毁别人，你得不到什么。
3798_1	leipzig	zho_wikipedia_2018_1M:699627	胡诌	胡謅	率汰三笔五笔，覆酱嫌粗；胡诌五言七言，打油自喜。	率汰三筆五筆，覆醬嫌粗；胡謅五言七言，打油自喜。	率汰三笔五笔，覆酱嫌粗；胡诌五言七言，打油自喜。
3799_1	leipzig	zho_news_2020_300K:28758	诏书	詔書	事后司马伦伪造诏书自封相国，司马伦一党掌握了朝政大权。	事後司馬倫偽造詔書自封相國，司馬倫一黨掌握了朝政大權。	事后司马伦伪造诏书自封相国，司马伦一党掌握了朝政大权。
3800_1	authored	level-2/3800_1	自诒伊戚	自詒伊戚	自诒伊戚是一个成语或固定说法。	自詒伊戚是一個成語或固定說法。	自诒伊戚是一个成语或固定说法。
3802_1	leipzig	zho_news_2020_300K:220188	陇西	隴西	皇帝指婚的消息传遍陇西，威远郡更是一片沸腾。	皇帝指婚的訊息傳遍隴西，威遠郡更是一片沸騰。	皇帝指婚的消息传遍陇西，威远郡更是一片沸腾。
3805_1	leipzig	zho_news_2020_300K:272889	井陉	井陘	这些事都记载在《李斯列传》中，继续往前走，从井陉到达九原。	這些事都記載在《李斯列傳》中，繼續往前走，從井陘到達九原。	这些事都记载在《李斯列传》中，继续往前走，从井陉到达九原。
3807_1	tatoeba	817297	妩媚	嫵媚	我喜欢这幅画不是因为它是个杰作而是因为它妩媚。	我喜歡這幅畫不是因為它是個傑作而是因為它嫵媚。	我喜欢这幅画不是因为它是个杰作而是因为它妩媚。
3808_1	leipzig	zho_news_2020_300K:129547	老妪	老嫗	就像白居易的诗之所以为人喜爱，是因为连老妪也能朗朗上口。	就像白居易的詩之所以為人喜愛，是因為連老嫗也能朗朗上口。	就像白居易的诗之所以为人喜爱，是因为连老妪也能朗朗上口。
3821_1	leipzig	zho_news_2020_300K:218503	众说纷纭	眾說紛紜	疫情间网红的论吃，很有点众说纷纭了。	疫情間網紅的論吃，很有點眾說紛紜了。	疫情间网红的论吃，很有点众说纷纭了。
3822_1	leipzig	zho_news_2020_300K:107844	纰漏	紕漏	在隔离病区，纰漏所带来的影响是无法预计的。	在隔離病區，紕漏所帶來的影響是無法預計的。	在隔离病区，纰漏所带来的影响是无法预计的。
3823_1	authored	level-2/3823_1	纴织	紝織	纴织表示一种动作。	紝織表示一種動作。	纴织表示一种动作。
3824_1	leipzig	zho_wikipedia_2018_1M:854303	涤纶	滌綸	衣物材質一般包括棉，涤纶，锦纶等各种纤维制品的编制物，由编织产生布料最后加工成服装。	衣物材質一般包括棉，滌綸，錦綸等各種纖維製品的編制物，由編織產生布料最後加工成服裝。	衣物材質一般包括棉，涤纶，锦纶等各种纤维制品的编制物，由编织产生布料最后加工成服装。
3825_1	leipzig	zho_wikipedia_2018_1M:614295	林纾	林紓	林纾分任大学堂译书局总办、副总办。	林紓分任大學堂譯書局總辦、副總辦。	林纾分任大学堂译书局总办、副总办。
3826_1	authored	level-2/3826_1	瑰玮	瑰瑋	瑰玮是一个较少见的词语。	瑰瑋是一個較少見的詞語。	瑰玮是一个较少见的词语。
3835_1	authored	level-2/3835_1	投票匦	投票匭	投票匦是一种器物。	投票匭是一種器物。	投票匦是一种器物。
3841_1	leipzig	zho_wikipedia_2018_1M:492266	当垆	當壚	，当垆卖酒，演绎了一段千古佳话。	，當壚賣酒，演繹了一段千古佳話。	，当垆卖酒，演绎了一段千古佳话。
3857_1	leipzig	zho_news_2020_300K:285389	葱茏	蔥蘢	重庆梅花山麓的墓碑前满眼草木葱茏。	重慶梅花山麓的墓碑前滿眼草木蔥蘢。	重庆梅花山麓的墓碑前满眼草木葱茏。
3868_1	authored	level-2/3868_1	茑萝	蔦蘿	茑萝是一种植物。	蔦蘿是一種植物。	茑萝是一种植物。
3870_1	leipzig	zho_news_2020_300K:74357	坟茔	墳塋	北方是到了春节将近，年三十还是二十九，要到故人坟茔上迎先人回去过年节的。	北方是到了春節將近，年三十還是二十九，要到故人墳塋上迎先人回去過年節的。	北方是到了春节将近，年三十还是二十九，要到故人坟茔上迎先人回去过年节的。
3871_1	tatoeba	10537181	茕茕孑立	煢煢孑立	我茕茕孑立，形影相吊。	我煢煢孑立，形影相弔。	我茕茕孑立，形影相吊。
3874_1	leipzig	zho_news_2020_300K:238779	老骥伏枥	老驥伏櫪	老骥伏枥，志在千里；烈士暮年，壮心不已。	老驥伏櫪，志在千里；烈士暮年，壯心不已。	老骥伏枥，志在千里；烈士暮年，壮心不已。
3881_1	leipzig	zho_news_2020_300K:283380	枞树	樅樹	那山，已经长满枞树、藤蔓，石头都见不着了。	那山，已經長滿樅樹、藤蔓，石頭都見不著了。	那山，已经长满枞树、藤蔓，石头都见不着了。
3887_1	leipzig	zho_wikipedia_2018_1M:755408	砀山	碭山	，砀山县，组建萧砀县，属蚌埠专区。	，碭山縣，組建蕭碭縣，屬蚌埠專區。	，砀山县，组建萧砀县，属蚌埠专区。
3890_1	leipzig	zho_wikipedia_2018_1M:633793	建瓯	建甌	此后，建瓯成为闽北的政治文化中心。	此後，建甌成為閩北的政治文化中心。	此后，建瓯成为闽北的政治文化中心。
3892_1	leipzig	zho_wikipedia_2018_1M:668111	郏县	郟縣	，流经汝州市、郏县、宝丰县、叶县，	，流經汝州市、郟縣、寶豐縣、葉縣，	，流经汝州市、郏县、宝丰县、叶县，
3893_1	leipzig	zho_wikipedia_2018_1M:67331	共轭	共軛	与其共轭 在复平面中的几何表示。	與其共軛 在複平面中的幾何表示。	与其共轭 在复平面中的几何表示。
3895_1	leipzig	zho_wikipedia_2018_1M:506867	鸢尾	鳶尾	德国鸢尾、西班牙鸢尾、黄鸢尾是最常见的品种。	德國鳶尾、西班牙鳶尾、黃鳶尾是最常見的品種。	德国鸢尾、西班牙鸢尾、黄鸢尾是最常见的品种。
3898_1	leipzig	zho_news_2020_300K:177029	昙花一现	曇花一現	曾经的那段岁月，犹如昙花一现，那么美好，却又如此短暂。	曾經的那段歲月，猶如曇花一現，那麼美好，卻又如此短暫。	曾经的那段岁月，犹如昙花一现，那么美好，却又如此短暂。
3910_1	authored	level-2/3910_1	虮子	蟣子	虮子是一个较少见的词语。	蟣子是一個較少見的詞語。	虮子是一个较少见的词语。
3913_1	tatoeba	2941315	黾勉	黽勉	差池不相见，黾勉空仰止。	差池不相見，黽勉空仰止。	差池不相见，黾勉空仰止。
3918_1	tatoeba	13860167	叮咛	叮嚀	老师叮咛学生不要因为会考而过度紧张。	老師叮嚀學生不要因為會考而過度緊張。	老師叮嚀學生不要因為會考而過度緊張。
3922_1	authored	level-2/3922_1	咝咝声	噝噝聲	咝咝声是一个较少见的词语。	噝噝聲是一個較少見的詞語。	咝咝声是一个较少见的词语。
3924_1	leipzig	zho_news_2020_300K:166184	岿然不动	巋然不動	敌军围困万千重，我自岿然不动”。	敵軍圍困萬千重，我自巋然不動”。	敌军围困万千重，我自岿然不动”。
3930_1	authored	level-2/3930_1	刿心刳肺	劌心刳肺	刿心刳肺是一个成语或固定说法。	劌心刳肺是一個成語或固定說法。	刿心刳肺是一个成语或固定说法。
3933_1	leipzig	zho_wikipedia_2018_1M:825798	剀切	剴切	至其持议守正，虽严谕屡下，陈辞益剀切不挠。	至其持議守正，雖嚴諭屢下，陳辭益剴切不撓。	至其持议守正，虽严谕屡下，陈辞益剀切不挠。
3935_1	leipzig	zho_wikipedia_2018_1M:636086	峄城区	嶧城區	此外，在市中区有枣庄东湖公园和光明广场，在峄城区有枣庄冠世榴园生态文化旅游区。	此外，在市中區有棗莊東湖公園和光明廣場，在嶧城區有棗莊冠世榴園生態文化旅遊區。	此外，在市中区有枣庄东湖公园和光明广场，在峄城区有枣庄冠世榴园生态文化旅游区。
3940_1	authored	level-2/3940_1	钢钎	鋼釺	钢钎是一种器物。	鋼釺是一種器物。	钢钎是一种器物。
3941_1	authored	level-2/3941_1	玉钏儿	玉釧兒	玉钏儿是一种器物。	玉釧兒是一種器物。	玉钏儿是一种器物。
3942_1	leipzig	zho_wikipedia_2018_1M:113026	五氧化二钒	五氧化二釩	五氧化二钒加熱可放出氧氣，且這個反應是可逆的。	五氧化二釩加熱可放出氧氣，且這個反應是可逆的。	五氧化二钒加熱可放出氧氣，且這個反應是可逆的。
3943_1	authored	level-2/3943_1	钕铁硼	釹鐵硼	钕铁硼是一种材料或化学物质。	釹鐵硼是一種材料或化學物質。	钕铁硼是一种材料或化学物质。
3944_1	leipzig	zho_news_2020_300K:282928	薛宝钗	薛寶釵	那么我为什么说美玉无瑕说的是神瑛侍者薛宝钗呢？	那麼我為什麼說美玉無瑕說的是神瑛侍者薛寶釵呢？	那么我为什么说美玉无瑕说的是神瑛侍者薛宝钗呢？
3960_1	leipzig	zho_news_2020_300K:285510	市侩	市儈	重要的原因，袁溥之反感杨子烈在婚姻问题上的市侩气味。	重要的原因，袁溥之反感楊子烈在婚姻問題上的市儈氣味。	重要的原因，袁溥之反感杨子烈在婚姻问题上的市侩气味。
3963_1	leipzig	zho_wikipedia_2018_1M:821532	同侪	同儕	自己好好实践，吾不告过你去爱你的同侪么？	自己好好實踐，吾不告過你去愛你的同儕麼？	自己好好实践，吾不告过你去爱你的同侪么？
3966_1	authored	level-2/3966_1	蓝侬	藍儂	蓝侬是一个较少见的词语。	藍儂是一個較少見的詞語。	蓝侬是一个较少见的词语。
3971_1	leipzig	zho_news_2020_300K:235173	刽子手	劊子手	罗兰夫人歉意地对刽子手说了一声“对不起！”	羅蘭夫人歉意地對劊子手說了一聲“對不起！”	罗兰夫人歉意地对刽子手说了一声“对不起！”
3973_1	tatoeba	919907	怂恿	慫恿	广告怂恿我们买奢侈品。	廣告慫恿我們買奢侈品。	廣告慫恿我們買奢侈品。
3974_1	authored	level-2/3974_1	平籴	平糴	平籴是一个较少见的词语。	平糴是一個較少見的詞語。	平籴是一个较少见的词语。
3976_1	authored	level-2/3976_1	戗风	戧風	戗风是一个较少见的词语。	戧風是一個較少見的詞語。	戗风是一个较少见的词语。
3983_1	tatoeba	13920751	闻名遐迩	聞名遐邇	我去年寒假去哈尔滨旅游，参观了闻名遐迩的冰雕展。	我去年寒假去哈爾濱旅遊，參觀了聞名遐邇的冰雕展。	我去年寒假去哈爾濱旅遊，參觀了聞名遐邇的冰雕展。
3991_1	leipzig	zho_news_2020_300K:96304	枭雄	梟雄	国内用户如何才能够免费领取到《刺客信条：枭雄》呢？	國內使用者如何才能夠免費領取到《刺客信條：梟雄》呢？	国内用户如何才能够免费领取到《刺客信条：枭雄》呢？
3992_1	leipzig	zho_wikipedia_2018_1M:42705	蜜饯	蜜餞	一些食用花卉还可加工为蜜饯，例如菊花、	一些食用花卉還可加工為蜜餞，例如菊花、	一些食用花卉还可加工为蜜饯，例如菊花、
3993_1	leipzig	zho_wikipedia_2018_1M:555514	饴糖	飴糖	料中有麻屑、白糖、香条、桂花等，食时甜酥，骨子虽用饴糖熬制而成，但松脆，落口消深，不沾牙齿。	料中有麻屑、白糖、香條、桂花等，食時甜酥，骨子雖用飴糖熬製而成，但鬆脆，落口消深，不沾牙齒。	料中有麻屑、白糖、香条、桂花等，食时甜酥，骨子虽用饴糖熬制而成，但松脆，落口消深，不沾牙齿。
