official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
3644	2	纡	3644_1	紆	false	纡尊降贵	紆尊降貴	authored-example	project-authored	纡尊降贵是一个成语或固定说法。	紆尊降貴是一個成語或固定說法。		lexical-context
3645	2	纣	3645_1	紂	false	助纣为虐	助紂為虐	corpus-example	leipzig:zho_news_2020_300K:207647	然而，现实情况却是网络霸凌“助纣为虐”。	然而，現實情況卻是網路霸凌“助紂為虐”。		lexical-context
3646	2	纥	3646_1	紇	false	回纥	回紇	corpus-example	leipzig:zho_news_2020_300K:256849	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	要說清楚這個問題，首先我們就要說下維吾爾族的先祖回紇。		lexical-context
3647	2	纨	3647_1	紈	false	纨扇	紈扇	corpus-example	leipzig:zho_wikipedia_2018_1M:529101	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	扇面多是桃形，形似紈扇，是用細如絹絲的竹絲精心編織而成的。		lexical-context
3649	2	玙	3649_1	璵	false	玙字	璵字	curated-domain	metalinguistic-fallback	古代玉器记载中提到了玙。	古代玉器記載中提到了璵。	Jade terminology / personal names: a rare character associated with fine jade and sometimes used in names.	curated-domain
3650	2	抟	3650_1	摶	false	抟风	摶風	authored-example	project-authored	抟风表示一种动作。	摶風表示一種動作。		lexical-context
3655	2	坞	3655_1	塢	false	好莱坞	好萊塢	corpus-example	tatoeba:883466	好莱坞不是以前的样子了。	好萊塢不是以前的樣子了。		lexical-context
3658	2	㧐	3658_1	㩳	false	㧐字	㩳字	curated-domain	metalinguistic-fallback	他用手㧐住了木架。	他用手㩳住了木架。	Rare action vocabulary: an uncommon hand-related verb recorded in older or regional usage.	curated-domain
3661	2	芸	3661_0	芸	true	芸豆	芸豆	corpus-example	leipzig:zho_wikipedia_2018_1M:787543	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	經濟作物有亞麻、大麻、芸豆、向日葵、白瓜子等。		lexical-context
3661	2	芸	3661_1	蕓	false	芸薹	蕓薹	authored-example	project-authored	芸薹是一种植物。	蕓薹是一種植物。		lexical-context
3663	2	苈	3663_1	藶	false	葶苈子	葶藶子	authored-example	project-authored	葶苈子是一种植物。	葶藶子是一種植物。		lexical-context
3667	2	苋	3667_1	莧	false	刺苋	刺莧	authored-example	project-authored	刺苋是一种植物。	刺莧是一種植物。		lexical-context
3669	2	苌	3669_1	萇	false	苌楚	萇楚	authored-example	project-authored	苌楚是一种植物。	萇楚是一種植物。		lexical-context
3670	2	苁	3670_1	蓯	false	肉苁蓉	肉蓯蓉	authored-example	project-authored	肉苁蓉是一种植物。	肉蓯蓉是一種植物。		lexical-context
3676	2	苎	3676_1	苧	false	苎麻	苧麻	corpus-example	leipzig:zho_wikipedia_2018_1M:834033	；苎麻种植面积51万亩，占全国的30%。	；苧麻種植面積51萬畝，佔全國的30%。		lexical-context
3686	2	矶	3686_1	磯	false	洛杉矶	洛杉磯	corpus-example	tatoeba:4267353	我应该取消我到洛杉矶的旅行。	我應該取消我到洛杉磯的旅行。		lexical-context
3687	2	奁	3687_1	奩	false	妆奁	妝奩	corpus-example	leipzig:zho_wikipedia_2018_1M:953815	阮大铖匿名托人赠送丰厚妆奁以拉拢侯方域，被李香君知晓坚决退回。	阮大鋮匿名託人贈送豐厚妝奩以拉攏侯方域，被李香君知曉堅決退回。		lexical-context
3690	2	欤	3690_1	歟	false	欤字	歟字	approved-manual	metalinguistic-fallback	此事可行欤？	此事可行歟？	Classical Chinese grammar: sentence-final particle indicating a question, rhetorical question, or exclamation.	approved-manual
3691	2	轫	3691_1	軔	false	发轫	發軔	corpus-example	leipzig:zho_news_2020_300K:132577	工农武装割据、农村包围城市、武装夺取政权的伟大历程由此发轫。	工農武裝割據、農村包圍城市、武裝奪取政權的偉大曆程由此發軔。		lexical-context
3696	2	邺	3696_1	鄴	false	建邺	建鄴	corpus-example	leipzig:zho_wikipedia_2018_1M:219741	，其中玄武、鼓楼、秦淮、建邺、栖霞和雨花台等六区被称为主城区。	，其中玄武、鼓樓、秦淮、建鄴、棲霞和雨花臺等六區被稱為主城區。		lexical-context
3699	2	呒	3699_1	嘸	false	呒没	嘸沒	authored-example	project-authored	呒没是一个较少见的词语。	嘸沒是一個較少見的詞語。		lexical-context
3700	2	呓	3700_1	囈	false	呓语	囈語	corpus-example	leipzig:zho_news_2020_300K:264628	说是微醺里的呓语吧，人家也一本正经的文字。	說是微醺裡的囈語吧，人家也一本正經的文字。		lexical-context
3702	2	呖	3702_1	嚦	false	呖字	嚦字	approved-manual	metalinguistic-fallback	林中传来黄莺呖呖的叫声。	林中傳來黃鶯嚦嚦的叫聲。	Onomatopoeia / literary Chinese: represents the clear, repeated sound of birds singing.	approved-manual
3704	2	旸	3704_1	暘	false	旸谷	暘谷	authored-example	project-authored	旸谷是一个地名。	暘谷是一個地名。		lexical-context
3708	2	呗	3708_1	唄	false	梵呗	梵唄	corpus-example	leipzig:zho_wikipedia_2018_1M:281457	受其影响，歌赞梵呗也随着佛教传入中国。	受其影響，歌贊梵唄也隨著佛教傳入中國。		lexical-context
3712	2	帏	3712_1	幃	false	帏幕	幃幕	authored-example	project-authored	帏幕是一种器物。	幃幕是一種器物。		lexical-context
3715	2	岘	3715_1	峴	false	岘港	峴港	corpus-example	leipzig:zho_news_2020_300K:177508	最大的可能，航母是在越南岘港停泊时感染上的。	最大的可能，航母是在越南峴港停泊時感染上的。		lexical-context
3717	2	岚	3717_1	嵐	false	李岚清	李嵐清	corpus-example	leipzig:zho_wikipedia_2018_1M:608307	李岚清副总理任内曾主持多个高校合并的案例。	李嵐清副總理任內曾主持多個高校合併的案例。		lexical-context
3719	2	囵	3719_1	圇	false	囫囵	囫圇	corpus-example	leipzig:zho_wikipedia_2018_1M:68407	与猛兽不同，猛禽在进食时并不咀嚼猎物，大多是将猎物连皮毛带骨骼囫囵吞下。	與猛獸不同，猛禽在進食時並不咀嚼獵物，大多是將獵物連皮毛帶骨骼囫圇吞下。		lexical-context
3721	2	钊	3721_1	釗	false	李大钊	李大釗	corpus-example	leipzig:zho_news_2020_300K:140768	当时，李大钊每月的收入完全可以过上富裕的生活。	當時，李大釗每月的收入完全可以過上富裕的生活。		lexical-context
3722	2	钋	3722_1	釙	false	钋字	釙字	approved-manual	metalinguistic-fallback	实验室严格管理钋样品。	實驗室嚴格管理釙樣品。	Chemistry / nuclear science: polonium, a radioactive chemical element.	approved-manual
3723	2	钌	3723_1	釕	false	钌铞儿	釕銱兒	authored-example	project-authored	钌铞儿是一种器物。	釕銱兒是一種器物。		lexical-context
3738	2	佥	3738_1	僉	false	佥同	僉同	authored-example	project-authored	佥同是一个较少见的词语。	僉同是一個較少見的詞語。		lexical-context
3748	2	鸠	3748_1	鳩	false	斑鸠	斑鳩	corpus-example	leipzig:zho_wikipedia_2018_1M:759102	祭牲通常是母羊、羊羔或山羊，若力量不够，可用斑鸠或雏鸽等。	祭牲通常是母羊、羊羔或山羊，若力量不夠，可用斑鳩或雛鴿等。		lexical-context
3749	2	邹	3749_1	鄒	false	邹容	鄒容	corpus-example	leipzig:zho_wikipedia_2018_1M:492391	当天，炮台街更名为沧白路，新生路更名为邹容路。	當天，炮臺街更名為滄白路，新生路更名為鄒容路。		lexical-context
3750	2	饨	3750_1	飩	false	馄饨	餛飩	corpus-example	tatoeba:420336	一碗绉纱馄饨，皮儿薄得连肉也看得见！	一碗縐紗餛飩，皮兒薄得連肉也看得見！		lexical-context
3751	2	饩	3751_1	餼	false	饔饩	饔餼	authored-example	project-authored	饔饩表示一种动作。	饔餼表示一種動作。		lexical-context
3752	2	饪	3752_1	飪	false	烹饪	烹飪	corpus-example	tatoeba:487621	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。		lexical-context
3753	2	饫	3753_1	飫	false	饫甘餍肥	飫甘饜肥	authored-example	project-authored	饫甘餍肥是一个成语或固定说法。	飫甘饜肥是一個成語或固定說法。		lexical-context
3754	2	饬	3754_1	飭	false	申饬	申飭	corpus-example	leipzig:zho_wikipedia_2018_1M:534398	拜辞礼毕，上将起，复立而申饬者再四。	拜辭禮畢，上將起，復立而申飭者再四。		lexical-context
3756	2	庑	3756_1	廡	false	廊庑	廊廡	corpus-example	leipzig:zho_wikipedia_2018_1M:485942	建筑底层中央是土台，四周有单坡的廊庑。	建築底層中央是土臺，四周有單坡的廊廡。		lexical-context
3759	2	疖	3759_1	癤	false	疖子	癤子	corpus-example	leipzig:zho_news_2020_300K:14986	不少同志长疖子，生痱子，患阴囊炎。	不少同志長癤子，生痱子，患陰囊炎。		lexical-context
3761	2	闱	3761_1	闈	false	秋闱	秋闈	corpus-example	leipzig:zho_wikipedia_2018_1M:203446	光绪二十三年（1897年），15岁的蔡艮寅跟随樊锥赴秋闱（	光緒二十三年（1897年），15歲的蔡艮寅跟隨樊錐赴秋闈（		lexical-context
3762	2	闳	3762_1	閎	false	面黄肌闳	面黃肌閎	authored-example	project-authored	面黄肌闳是一个较少见的词语。	面黃肌閎是一個較少見的詞語。		lexical-context
3763	2	闵	3763_1	閔	false	闵行区	閔行區	corpus-example	leipzig:zho_wikipedia_2018_1M:315215	吴淞地区-浦东新区-闵行区-吴淞地区。	吳淞地區-浦東新區-閔行區-吳淞地區。		lexical-context
3765	2	炀	3765_1	煬	false	隋炀帝	隋煬帝	corpus-example	leipzig:zho_news_2020_300K:290465	隋炀帝的荒淫无度，史上人尽皆知。	隋煬帝的荒淫無度，史上人盡皆知。		lexical-context
3766	2	沣	3766_1	灃	false	沣水	灃水	authored-example	project-authored	沣水是一个地名。	灃水是一個地名。		lexical-context
3769	2	沤	3769_1	漚	false	沤凼	漚凼	authored-example	project-authored	沤凼是一个较少见的词语。	漚凼是一個較少見的詞語。		lexical-context
3777	2	沨	3777_1	渢	false	沨字	渢字	domain-template	metalinguistic-fallback	地方志中记载了沨。	地方志中記載了渢。	Historical geography / hydrology: a rare water-related character used for a river, water feature, sound, or flow.	domain-template
3781	2	沩	3781_1	潙	false	沩山	潙山	corpus-example	leipzig:zho_news_2020_300K:213441	生于斯、长于斯的陈林经常思考，为什么沩山毛尖品质拔尖，但种植茶叶的茶农却不能脱贫致富？	生於斯、長於斯的陳林經常思考，為什麼潙山毛尖品質拔尖，但種植茶葉的茶農卻不能脫貧致富？		lexical-context
3783	2	怃	3783_1	憮	false	怃然	憮然	corpus-example	leipzig:zho_wikipedia_2018_1M:444062	宪宗得知万贞儿死后，怃然曰："万妃长去，吾亦安能久矣"。	憲宗得知萬貞兒死後，憮然曰："萬妃長去，吾亦安能久矣"。		lexical-context
3784	2	怄	3784_1	慪	false	怄气	慪氣	corpus-example	leipzig:zho_news_2020_300K:38138	他们总说我们‘过火’，实在怄气要命。”	他們總說我們‘過火’，實在慪氣要命。”		lexical-context
3787	2	忾	3787_1	愾	false	同仇敌忾	同仇敵愾	corpus-example	leipzig:zho_news_2020_300K:11489	一言以蔽之，赢取这场硬仗，靠的是同仇敌忾，众志成城。	一言以蔽之，贏取這場硬仗，靠的是同仇敵愾，眾志成城。		lexical-context
3788	2	怅	3788_1	悵	false	惆怅	惆悵	corpus-example	leipzig:zho_news_2020_300K:195479	每每这个时候，我总倍感孤独与惆怅。	每每這個時候，我總倍感孤獨與惆悵。		lexical-context
3791	2	怆	3791_1	愴	false	悲怆	悲愴	corpus-example	leipzig:zho_news_2020_300K:277575	这种笔调优雅悲怆，又具有沉郁凝重。	這種筆調優雅悲愴，又具有沉鬱凝重。		lexical-context
3794	2	诂	3794_1	詁	false	训诂	訓詁	corpus-example	leipzig:zho_wikipedia_2018_1M:559363	新训诂学是相对旧有的训诂学而言的。	新訓詁學是相對舊有的訓詁學而言的。		lexical-context
3795	2	诃	3795_1	訶	false	契诃夫	契訶夫	corpus-example	leipzig:zho_wikipedia_2018_1M:461413	尽管如此，契诃夫对父母始终非常孝顺。	儘管如此，契訶夫對父母始終非常孝順。		lexical-context
3796	2	诅	3796_1	詛	false	诅咒	詛咒	corpus-example	tatoeba:5611463	她大声诅咒。	她大聲詛咒。		lexical-context
3797	2	诋	3797_1	詆	false	诋毁	詆毀	corpus-example	tatoeba:1358598	通过诋毁别人，你得不到什么。	透過詆毀別人，你得不到什麼。		lexical-context
3798	2	诌	3798_1	謅	false	胡诌	胡謅	corpus-example	leipzig:zho_wikipedia_2018_1M:699627	率汰三笔五笔，覆酱嫌粗；胡诌五言七言，打油自喜。	率汰三筆五筆，覆醬嫌粗；胡謅五言七言，打油自喜。		lexical-context
3799	2	诏	3799_1	詔	false	诏书	詔書	corpus-example	leipzig:zho_news_2020_300K:28758	事后司马伦伪造诏书自封相国，司马伦一党掌握了朝政大权。	事後司馬倫偽造詔書自封相國，司馬倫一黨掌握了朝政大權。		lexical-context
3800	2	诒	3800_1	詒	false	自诒伊戚	自詒伊戚	authored-example	project-authored	自诒伊戚是一个成语或固定说法。	自詒伊戚是一個成語或固定說法。		lexical-context
3802	2	陇	3802_1	隴	false	陇西	隴西	corpus-example	leipzig:zho_news_2020_300K:220188	皇帝指婚的消息传遍陇西，威远郡更是一片沸腾。	皇帝指婚的訊息傳遍隴西，威遠郡更是一片沸騰。		lexical-context
3805	2	陉	3805_1	陘	false	井陉	井陘	corpus-example	leipzig:zho_news_2020_300K:272889	这些事都记载在《李斯列传》中，继续往前走，从井陉到达九原。	這些事都記載在《李斯列傳》中，繼續往前走，從井陘到達九原。		lexical-context
3807	2	妩	3807_1	嫵	false	妩媚	嫵媚	corpus-example	tatoeba:817297	我喜欢这幅画不是因为它是个杰作而是因为它妩媚。	我喜歡這幅畫不是因為它是個傑作而是因為它嫵媚。		lexical-context
3808	2	妪	3808_1	嫗	false	老妪	老嫗	corpus-example	leipzig:zho_news_2020_300K:129547	就像白居易的诗之所以为人喜爱，是因为连老妪也能朗朗上口。	就像白居易的詩之所以為人喜愛，是因為連老嫗也能朗朗上口。		lexical-context
3812	2	妫	3812_1	嬀	false	妫字	嬀字	curated-domain	metalinguistic-fallback	妫是一个古老的姓氏。	嬀是一個古老的姓氏。	Genealogy / surnames: an old Chinese family name associated with historical lineages.	curated-domain
3818	2	刭	3818_1	剄	false	刭字	剄字	curated-domain	metalinguistic-fallback	古书记载了刭刑。	古書記載了剄刑。	Historical law and punishment: refers to cutting the throat or execution by that method.	curated-domain
3821	2	纭	3821_1	紜	false	众说纷纭	眾說紛紜	corpus-example	leipzig:zho_news_2020_300K:218503	疫情间网红的论吃，很有点众说纷纭了。	疫情間網紅的論吃，很有點眾說紛紜了。		lexical-context
3822	2	纰	3822_1	紕	false	纰漏	紕漏	corpus-example	leipzig:zho_news_2020_300K:107844	在隔离病区，纰漏所带来的影响是无法预计的。	在隔離病區，紕漏所帶來的影響是無法預計的。		lexical-context
3823	2	纴	3823_1	紝	false	纴织	紝織	authored-example	project-authored	纴织表示一种动作。	紝織表示一種動作。		lexical-context
3824	2	纶	3824_1	綸	false	涤纶	滌綸	corpus-example	leipzig:zho_wikipedia_2018_1M:854303	衣物材質一般包括棉，涤纶，锦纶等各种纤维制品的编制物，由编织产生布料最后加工成服装。	衣物材質一般包括棉，滌綸，錦綸等各種纖維製品的編制物，由編織產生布料最後加工成服裝。		lexical-context
3825	2	纾	3825_1	紓	false	林纾	林紓	corpus-example	leipzig:zho_wikipedia_2018_1M:614295	林纾分任大学堂译书局总办、副总办。	林紓分任大學堂譯書局總辦、副總辦。		lexical-context
3826	2	玮	3826_1	瑋	false	瑰玮	瑰瑋	authored-example	project-authored	瑰玮是一个较少见的词语。	瑰瑋是一個較少見的詞語。		lexical-context
3835	2	匦	3835_1	匭	false	投票匦	投票匭	authored-example	project-authored	投票匦是一种器物。	投票匭是一種器物。		lexical-context
3841	2	垆	3841_1	壚	false	当垆	當壚	corpus-example	leipzig:zho_wikipedia_2018_1M:492266	，当垆卖酒，演绎了一段千古佳话。	，當壚賣酒，演繹了一段千古佳話。		lexical-context
3848	2	㧟	3848_1	擓	false	㧟字	擓字	curated-domain	metalinguistic-fallback	他把篮子㧟在胳膊上。	他把籃子擓在胳膊上。	Regional and dialect vocabulary: a verb used for carrying something over the arm or for a rubbing or scratching action.	curated-domain
3857	2	茏	3857_1	蘢	false	葱茏	蔥蘢	corpus-example	leipzig:zho_news_2020_300K:285389	重庆梅花山麓的墓碑前满眼草木葱茏。	重慶梅花山麓的墓碑前滿眼草木蔥蘢。		lexical-context
3868	2	茑	3868_1	蔦	false	茑萝	蔦蘿	authored-example	project-authored	茑萝是一种植物。	蔦蘿是一種植物。		lexical-context
3870	2	茔	3870_1	塋	false	坟茔	墳塋	corpus-example	leipzig:zho_news_2020_300K:74357	北方是到了春节将近，年三十还是二十九，要到故人坟茔上迎先人回去过年节的。	北方是到了春節將近，年三十還是二十九，要到故人墳塋上迎先人回去過年節的。		lexical-context
3871	2	茕	3871_1	煢	false	茕茕孑立	煢煢孑立	corpus-example	tatoeba:10537181	我茕茕孑立，形影相吊。	我煢煢孑立，形影相弔。		lexical-context
3874	2	枥	3874_1	櫪	false	老骥伏枥	老驥伏櫪	corpus-example	leipzig:zho_news_2020_300K:238779	老骥伏枥，志在千里；烈士暮年，壮心不已。	老驥伏櫪，志在千里；烈士暮年，壯心不已。		lexical-context
3878	2	枧	3878_1	梘	false	枧字	梘字	curated-domain	metalinguistic-fallback	清水从枧里流出来。	清水從梘裡流出來。	Traditional material culture: a bamboo or wooden tube, peg, or water spout.	curated-domain
3880	2	枨	3880_1	棖	false	枨字	棖字	curated-domain	metalinguistic-fallback	门旁装着一根枨。	門旁裝著一根棖。	Traditional architecture: a doorpost, door stop, or related wooden fitting.	curated-domain
3881	2	枞	3881_1	樅	false	枞树	樅樹	corpus-example	leipzig:zho_news_2020_300K:283380	那山，已经长满枞树、藤蔓，石头都见不着了。	那山，已經長滿樅樹、藤蔓，石頭都見不著了。		lexical-context
3887	2	砀	3887_1	碭	false	砀山	碭山	corpus-example	leipzig:zho_wikipedia_2018_1M:755408	，砀山县，组建萧砀县，属蚌埠专区。	，碭山縣，組建蕭碭縣，屬蚌埠專區。		lexical-context
3890	2	瓯	3890_1	甌	false	建瓯	建甌	corpus-example	leipzig:zho_wikipedia_2018_1M:633793	此后，建瓯成为闽北的政治文化中心。	此後，建甌成為閩北的政治文化中心。		lexical-context
3892	2	郏	3892_1	郟	false	郏县	郟縣	corpus-example	leipzig:zho_wikipedia_2018_1M:668111	，流经汝州市、郏县、宝丰县、叶县，	，流經汝州市、郟縣、寶豐縣、葉縣，		lexical-context
3893	2	轭	3893_1	軛	false	共轭	共軛	corpus-example	leipzig:zho_wikipedia_2018_1M:67331	与其共轭 在复平面中的几何表示。	與其共軛 在複平面中的幾何表示。		lexical-context
3895	2	鸢	3895_1	鳶	false	鸢尾	鳶尾	corpus-example	leipzig:zho_wikipedia_2018_1M:506867	德国鸢尾、西班牙鸢尾、黄鸢尾是最常见的品种。	德國鳶尾、西班牙鳶尾、黃鳶尾是最常見的品種。		lexical-context
3898	2	昙	3898_1	曇	false	昙花一现	曇花一現	corpus-example	leipzig:zho_news_2020_300K:177029	曾经的那段岁月，犹如昙花一现，那么美好，却又如此短暂。	曾經的那段歲月，猶如曇花一現，那麼美好，卻又如此短暫。		lexical-context
3910	2	虮	3910_1	蟣	false	虮子	蟣子	authored-example	project-authored	虮子是一个较少见的词语。	蟣子是一個較少見的詞語。		lexical-context
3913	2	黾	3913_1	黽	false	黾勉	黽勉	corpus-example	tatoeba:2941315	差池不相见，黾勉空仰止。	差池不相見，黽勉空仰止。		lexical-context
3918	2	咛	3918_1	嚀	false	叮咛	叮嚀	corpus-example	tatoeba:13860167	老师叮咛学生不要因为会考而过度紧张。	老師叮嚀學生不要因為會考而過度緊張。		lexical-context
3922	2	咝	3922_1	噝	false	咝咝声	噝噝聲	authored-example	project-authored	咝咝声是一个较少见的词语。	噝噝聲是一個較少見的詞語。		lexical-context
3924	2	岿	3924_1	巋	false	岿然不动	巋然不動	corpus-example	leipzig:zho_news_2020_300K:166184	敌军围困万千重，我自岿然不动”。	敵軍圍困萬千重，我自巋然不動”。		lexical-context
3930	2	刿	3930_1	劌	false	刿心刳肺	劌心刳肺	authored-example	project-authored	刿心刳肺是一个成语或固定说法。	劌心刳肺是一個成語或固定說法。		lexical-context
3933	2	剀	3933_1	剴	false	剀切	剴切	corpus-example	leipzig:zho_wikipedia_2018_1M:825798	至其持议守正，虽严谕屡下，陈辞益剀切不挠。	至其持議守正，雖嚴諭屢下，陳辭益剴切不撓。		lexical-context
3935	2	峄	3935_1	嶧	false	峄城区	嶧城區	corpus-example	leipzig:zho_wikipedia_2018_1M:636086	此外，在市中区有枣庄东湖公园和光明广场，在峄城区有枣庄冠世榴园生态文化旅游区。	此外，在市中區有棗莊東湖公園和光明廣場，在嶧城區有棗莊冠世榴園生態文化旅遊區。		lexical-context
3939	2	钍	3939_1	釷	false	钍字	釷字	approved-manual	metalinguistic-fallback	这种矿石含有少量钍。	這種礦石含有少量釷。	Chemistry / nuclear science: thorium, a naturally occurring radioactive metallic element.	approved-manual
3940	2	钎	3940_1	釺	false	钢钎	鋼釺	authored-example	project-authored	钢钎是一种器物。	鋼釺是一種器物。		lexical-context
3941	2	钏	3941_1	釧	false	玉钏儿	玉釧兒	authored-example	project-authored	玉钏儿是一种器物。	玉釧兒是一種器物。		lexical-context
3942	2	钒	3942_1	釩	false	五氧化二钒	五氧化二釩	corpus-example	leipzig:zho_wikipedia_2018_1M:113026	五氧化二钒加熱可放出氧氣，且這個反應是可逆的。	五氧化二釩加熱可放出氧氣，且這個反應是可逆的。		lexical-context
3943	2	钕	3943_1	釹	false	钕铁硼	釹鐵硼	authored-example	project-authored	钕铁硼是一种材料或化学物质。	釹鐵硼是一種材料或化學物質。		lexical-context
3944	2	钗	3944_1	釵	false	薛宝钗	薛寶釵	corpus-example	leipzig:zho_news_2020_300K:282928	那么我为什么说美玉无瑕说的是神瑛侍者薛宝钗呢？	那麼我為什麼說美玉無瑕說的是神瑛侍者薛寶釵呢？		lexical-context
