order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
26	25_1	天天	天天	tiān tiān		every day	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！	tatoeba	420746	我天天在这里做买卖，不会让你吃亏的！	CC-CEDICT	
27	25_1	买卖	買賣	mǎi mai	mǎi mài	business; trade	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！	tatoeba	420746	我天天在这里做买卖，不会让你吃亏的！	CC-CEDICT	Taiwan MOE Concise Dictionary
28	25_1	不会	不會	bù huì		improbable	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！	tatoeba	420746	我天天在这里做买卖，不会让你吃亏的！	CC-CEDICT	
29	25_1	吃亏	吃虧	chī kuī		to suffer losses	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！	tatoeba	420746	我天天在这里做买卖，不会让你吃亏的！	CC-CEDICT	
30	29_0	公司	公司	gōng sī		company	公司需要人才。	公司需要人才。	preexisting			CC-CEDICT	
31	29_0	人才	人才	rén cái		talent	公司需要人才。	公司需要人才。	preexisting			CC-CEDICT	
32	29_1	刚才	剛纔	gāng cái		just now	他刚才来了。	他剛纔來了。	preexisting			CC-CEDICT	
33	34_1	一起	一起	yī qǐ		the same place	我想与你一起去看海。	我想與你一起去看海。	authored			CC-CEDICT	
34	35_0	复姓	複姓	fù xìng		two-character surname	万俟是一个复姓。	万俟是一個複姓。	preexisting			CC-CEDICT	
35	35_1	万人	萬人	wàn rén		ten thousand people	这里有一万人。	這裡有一萬人。	preexisting			CC-CEDICT	
36	41_0	千米	千米	qiān mǐ		kilometer	一千米并不远。	一千米並不遠。	preexisting			CC-CEDICT	
37	41_0	并不	並不	bìng bù		not at all	一千米并不远。	一千米並不遠。	preexisting			CC-CEDICT	
38	41_1	孩子	孩子	hái zi		child	孩子在荡秋千。	孩子在盪鞦韆。	preexisting			CC-CEDICT	
39	41_1	荡秋千	盪鞦韆	dàng qiū qiān		to swing	孩子在荡秋千。	孩子在盪鞦韆。	preexisting			CC-CEDICT	
40	44_1	工程	工程	gōng chéng		engineering	这项工程耗资一亿元。	這項工程耗資一億元。	authored			CC-CEDICT	
41	44_1	耗资	耗資	hào zī		to spend	这项工程耗资一亿元。	這項工程耗資一億元。	authored			CC-CEDICT	
42	45_1	完成	完成	wán chéng		to complete	她一个人完成了任务。	她一個人完成了任務。	authored			CC-CEDICT	
43	45_1	任务	任務	rèn wu	rèn wù	mission	她一个人完成了任务。	她一個人完成了任務。	authored			CC-CEDICT	Taiwan MOE Concise Dictionary
44	48_1	什么	什麼	shén me		what?	你在看什么？	你在看什麼？	preexisting			CC-CEDICT	
45	53_1	我们	我們	wǒ men		we	我们在广场见面。	我們在廣場見面。	preexisting			CC-CEDICT	
46	53_1	广场	廣場	guǎng chǎng		public square	我们在广场见面。	我們在廣場見面。	preexisting			CC-CEDICT	
47	53_1	见面	見面	jiàn miàn		to meet	我们在广场见面。	我們在廣場見面。	preexisting			CC-CEDICT	
48	55_1	前边	前邊	qián bian	qián biān	front	前边儿是天安门。	前邊兒是天安門。	tatoeba	1216101	前边儿是天安门。	CC-CEDICT	Taiwan MOE Concise Dictionary
49	55_1	天安门	天安門	tiān ān mén		Tiananmen Gate	前边儿是天安门。	前邊兒是天安門。	tatoeba	1216101	前边儿是天安门。	CC-CEDICT	
50	57_1	讨论	討論	tǎo lùn		to discuss	这本书讨论社会主义的发展。	這本書討論社會主義的發展。	authored			CC-CEDICT	
51	57_1	社会	社會	shè huì		society	这本书讨论社会主义的发展。	這本書討論社會主義的發展。	authored			CC-CEDICT	
52	57_1	主义	主義	zhǔ yì		-ism	这本书讨论社会主义的发展。	這本書討論社會主義的發展。	authored			CC-CEDICT	
53	57_1	发展	發展	fā zhǎn		development	这本书讨论社会主义的发展。	這本書討論社會主義的發展。	authored			CC-CEDICT	
54	65_1	多久	多久	duō jiǔ		how long?	你家好脏啊！你多久没打扫卫生？	你家好髒啊！你多久沒打掃衛生？	tatoeba	3479866	你家好脏啊！你多久没打扫卫生？	CC-CEDICT	
55	65_1	打扫	打掃	dǎ sǎo		to clean	你家好脏啊！你多久没打扫卫生？	你家好髒啊！你多久沒打掃衛生？	tatoeba	3479866	你家好脏啊！你多久没打扫卫生？	CC-CEDICT	
56	65_1	卫生	衛生	wèi shēng		hygienic	你家好脏啊！你多久没打扫卫生？	你家好髒啊！你多久沒打掃衛生？	tatoeba	3479866	你家好脏啊！你多久没打扫卫生？	CC-CEDICT	
57	69_1	如今	如今	rú jīn		nowadays	如今很多的货物都由飞机运送。	如今很多的貨物都由飛機運送。	tatoeba	408272	如今很多的货物都由飞机运送。	CC-CEDICT	
58	69_1	货物	貨物	huò wù		goods	如今很多的货物都由飞机运送。	如今很多的貨物都由飛機運送。	tatoeba	408272	如今很多的货物都由飞机运送。	CC-CEDICT	
59	69_1	飞机	飛機	fēi jī		airplane	如今很多的货物都由飞机运送。	如今很多的貨物都由飛機運送。	tatoeba	408272	如今很多的货物都由飞机运送。	CC-CEDICT	
60	69_1	运送	運送	yùn sòng		to transport	如今很多的货物都由飞机运送。	如今很多的貨物都由飛機運送。	tatoeba	408272	如今很多的货物都由飞机运送。	CC-CEDICT	
61	70_1	电视	電視	diàn shì		television	你开着电视怎么能安心学习呢？	你開著電視怎麼能安心學習呢？	tatoeba	717323	你开着电视怎么能安心学习呢？	CC-CEDICT	
62	70_1	怎么	怎麼	zěn me		how?	你开着电视怎么能安心学习呢？	你開著電視怎麼能安心學習呢？	tatoeba	717323	你开着电视怎么能安心学习呢？	CC-CEDICT	
63	70_1	安心	安心	ān xīn		at ease	你开着电视怎么能安心学习呢？	你開著電視怎麼能安心學習呢？	tatoeba	717323	你开着电视怎么能安心学习呢？	CC-CEDICT	
64	70_1	学习	學習	xué xí		to learn	你开着电视怎么能安心学习呢？	你開著電視怎麼能安心學習呢？	tatoeba	717323	你开着电视怎么能安心学习呢？	CC-CEDICT	
65	72_1	将军	將軍	jiāng jūn		general	将军清点了所有人马。	將軍清點了所有人馬。	authored			CC-CEDICT	
66	72_1	所有	所有	suǒ yǒu		all	将军清点了所有人马。	將軍清點了所有人馬。	authored			CC-CEDICT	
67	72_1	人马	人馬	rén mǎ		men and horses	将军清点了所有人马。	將軍清點了所有人馬。	authored			CC-CEDICT	
68	73_1	城乡	城鄉	chéng xiāng		city and countryside	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。	authored			CC-CEDICT	
69	73_1	之间	之間	zhī jiān		between	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。	authored			CC-CEDICT	
70	73_1	交通	交通	jiāo tōng		to be connected	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。	authored			CC-CEDICT	
71	73_1	越来越	越來越	yuè lái yuè		more and more	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。	authored			CC-CEDICT	
72	73_1	便利	便利	biàn lì		convenient	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。	authored			CC-CEDICT	
73	74_0	传说	傳說	chuán shuō		legend	传说张三丰精通武术。	傳說張三丰精通武術。	authored			CC-CEDICT	
74	74_0	张三	張三	zhāng sān		wolf	传说张三丰精通武术。	傳說張三丰精通武術。	authored			CC-CEDICT	
75	74_0	精通	精通	jīng tōng		to be proficient in	传说张三丰精通武术。	傳說張三丰精通武術。	authored			CC-CEDICT	
76	74_0	武术	武術	wǔ shù		military skill or technique	传说张三丰精通武术。	傳說張三丰精通武術。	authored			CC-CEDICT	
77	74_1	印度	印度	yìn dù		India	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	tatoeba	487621	印度是一个烹饪文化丰富的地区。	CC-CEDICT	
78	74_1	烹饪	烹飪	pēng rèn		cooking	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	tatoeba	487621	印度是一个烹饪文化丰富的地区。	CC-CEDICT	
79	74_1	文化	文化	wén huà		culture	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	tatoeba	487621	印度是一个烹饪文化丰富的地区。	CC-CEDICT	
80	74_1	丰富	豐富	fēng fù		to enrich	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	tatoeba	487621	印度是一个烹饪文化丰富的地区。	CC-CEDICT	
81	74_1	地区	地區	dì qū		region	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。	tatoeba	487621	印度是一个烹饪文化丰富的地区。	CC-CEDICT	
82	76_1	计划	計劃	jì huà		plan	我们的计划从一开始就出错了。	我們的計劃從一開始就出錯了。	tatoeba	332616	我们的计划从一开始就出错了。	CC-CEDICT	
83	76_1	开始	開始	kāi shǐ		to begin	我们的计划从一开始就出错了。	我們的計劃從一開始就出錯了。	tatoeba	332616	我们的计划从一开始就出错了。	CC-CEDICT	
84	81_1	因为	因為	yīn wèi		because	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。	tatoeba	432907	他因为太疲劳而无法继续前进。	CC-CEDICT	
85	81_1	疲劳	疲勞	pí láo		fatigue	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。	tatoeba	432907	他因为太疲劳而无法继续前进。	CC-CEDICT	
86	81_1	无法	無法	wú fǎ		unable to	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。	tatoeba	432907	他因为太疲劳而无法继续前进。	CC-CEDICT	
87	81_1	继续	繼續	jì xù		to continue	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。	tatoeba	432907	他因为太疲劳而无法继续前进。	CC-CEDICT	
88	81_1	前进	前進	qián jìn		to go forward	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。	tatoeba	432907	他因为太疲劳而无法继续前进。	CC-CEDICT	
89	82_0	半天	半天	bàn tiān		half of the day	他讲了半天，我还是不知所云。	他講了半天，我還是不知所云。	authored			CC-CEDICT	
90	82_0	还是	還是	hái shi	hái shì	still	他讲了半天，我还是不知所云。	他講了半天，我還是不知所云。	authored			CC-CEDICT	Taiwan MOE Concise Dictionary
91	82_0	不知所云	不知所云	bù zhī suǒ yún		to not know what sb is driving at	他讲了半天，我还是不知所云。	他講了半天，我還是不知所云。	authored			CC-CEDICT	
92	82_1	明年	明年	míng nián		next year	我们明年想去云南旅行。	我們明年想去雲南旅行。	authored			CC-CEDICT	
93	82_1	云南	雲南	yún nán		Yunnan	我们明年想去云南旅行。	我們明年想去雲南旅行。	authored			CC-CEDICT	
94	82_1	旅行	旅行	lǚ xíng		to travel	我们明年想去云南旅行。	我們明年想去雲南旅行。	authored			CC-CEDICT	
95	83_1	这个	這個	zhè ge		this	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。	tatoeba	9989907	这个学校开设了亚非文学专业。	CC-CEDICT	
96	83_1	学校	學校	xué xiào		school	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。	tatoeba	9989907	这个学校开设了亚非文学专业。	CC-CEDICT	
97	83_1	开设	開設	kāi shè		to offer	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。	tatoeba	9989907	这个学校开设了亚非文学专业。	CC-CEDICT	
98	83_1	文学	文學	wén xué		literature	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。	tatoeba	9989907	这个学校开设了亚非文学专业。	CC-CEDICT	
99	83_1	专业	專業	zhuān yè		specialty	这个学校开设了亚非文学专业。	這個學校開設了亞非文學專業。	tatoeba	9989907	这个学校开设了亚非文学专业。	CC-CEDICT	
100	86_1	日本	日本	rì běn		Japan	他是日本最伟大的艺术家之一。	他是日本最偉大的藝術家之一。	tatoeba	332835	他是日本最伟大的艺术家之一。	CC-CEDICT	
101	86_1	伟大	偉大	wěi dà		huge	他是日本最伟大的艺术家之一。	他是日本最偉大的藝術家之一。	tatoeba	332835	他是日本最伟大的艺术家之一。	CC-CEDICT	
102	86_1	艺术	藝術	yì shù		art	他是日本最伟大的艺术家之一。	他是日本最偉大的藝術家之一。	tatoeba	332835	他是日本最伟大的艺术家之一。	CC-CEDICT	
103	86_1	之一	之一	zhī yī		one of	他是日本最伟大的艺术家之一。	他是日本最偉大的藝術家之一。	tatoeba	332835	他是日本最伟大的艺术家之一。	CC-CEDICT	
104	90_1	汤姆	湯姆	tāng mǔ		Tom	汤姆把夹克挂在大厅衣柜里。	湯姆把夾克掛在大廳衣櫃裡。	tatoeba	5624956	湯姆把夾克掛在大廳衣櫃裡。	CC-CEDICT	
105	90_1	夹克	夾克	jiā kè	jiá kè	jacket	汤姆把夹克挂在大厅衣柜里。	湯姆把夾克掛在大廳衣櫃裡。	tatoeba	5624956	湯姆把夾克掛在大廳衣櫃裡。	CC-CEDICT	Taiwan MOE Concise Dictionary
106	90_1	大厅	大廳	dà tīng		hall	汤姆把夹克挂在大厅衣柜里。	湯姆把夾克掛在大廳衣櫃裡。	tatoeba	5624956	湯姆把夾克掛在大廳衣櫃裡。	CC-CEDICT	
107	90_1	衣柜	衣櫃	yī guì		wardrobe	汤姆把夹克挂在大厅衣柜里。	湯姆把夾克掛在大廳衣櫃裡。	tatoeba	5624956	湯姆把夾克掛在大廳衣櫃裡。	CC-CEDICT	
108	94_1	名字	名字	míng zi		name	他的名字在这个地区人尽皆知。	他的名字在這個地區人盡皆知。	tatoeba	1325276	他的名字在这个地区人尽皆知。	CC-CEDICT	
109	94_1	人尽皆知	人盡皆知	rén jìn jiē zhī		known to everyone	他的名字在这个地区人尽皆知。	他的名字在這個地區人盡皆知。	tatoeba	1325276	他的名字在这个地区人尽皆知。	CC-CEDICT	
110	95_1	具有	具有	jù yǒu		to have	这是一个具有历史价值的城市。	這是一個具有歷史價值的城市。	tatoeba	606893	这是一个具有历史价值的城市。	CC-CEDICT	
111	95_1	历史	歷史	lì shǐ		history	这是一个具有历史价值的城市。	這是一個具有歷史價值的城市。	tatoeba	606893	这是一个具有历史价值的城市。	CC-CEDICT	
112	95_1	价值	價值	jià zhí		value	这是一个具有历史价值的城市。	這是一個具有歷史價值的城市。	tatoeba	606893	这是一个具有历史价值的城市。	CC-CEDICT	
113	95_1	城市	城市	chéng shì		city	这是一个具有历史价值的城市。	這是一個具有歷史價值的城市。	tatoeba	606893	这是一个具有历史价值的城市。	CC-CEDICT	
114	95_2	瓷器	瓷器	cí qì		chinaware	这件瓷器制于万历年间。	這件瓷器制於萬曆年間。	authored			CC-CEDICT	
115	95_2	历年	曆年	lì nián		calendar year	这件瓷器制于万历年间。	這件瓷器制於萬曆年間。	authored			CC-CEDICT	
116	100_1	出租	出租	chū zū		to rent	别等啦，我来招一辆出租汽车。	別等啦，我來招一輛出租汽車。	tatoeba	420478	别等啦，我来招一辆出租汽车。	CC-CEDICT	
117	100_1	汽车	汽車	qì chē		car	别等啦，我来招一辆出租汽车。	別等啦，我來招一輛出租汽車。	tatoeba	420478	别等啦，我来招一辆出租汽车。	CC-CEDICT	
118	114_1	那个	那個	nà ge		that one	这个球是那个男孩的宝贝。	這個球是那個男孩的寶貝。	tatoeba	392260	这个球是那个男孩的宝贝。	CC-CEDICT	
119	114_1	男孩	男孩	nán hái		boy	这个球是那个男孩的宝贝。	這個球是那個男孩的寶貝。	tatoeba	392260	这个球是那个男孩的宝贝。	CC-CEDICT	
120	114_1	宝贝	寶貝	bǎo bèi		treasured object	这个球是那个男孩的宝贝。	這個球是那個男孩的寶貝。	tatoeba	392260	这个球是那个男孩的宝贝。	CC-CEDICT	
121	115_1	位于	位於	wèi yú		to be located at	黄冈位于湖北省东部。	黃岡位於湖北省東部。	authored			CC-CEDICT	
122	115_1	湖北省	湖北省	hú běi shěng		Hubei Province	黄冈位于湖北省东部。	黃岡位於湖北省東部。	authored			CC-CEDICT	
123	115_1	东部	東部	dōng bù		the east	黄冈位于湖北省东部。	黃岡位於湖北省東部。	authored			CC-CEDICT	
124	118_1	意见	意見	yì jiàn		idea	是在这点上我们的意见有分歧。	是在這點上我們的意見有分歧。	tatoeba	333944	是在这点上我们的意见有分歧。	CC-CEDICT	
125	118_1	分歧	分歧	fēn qí		divergent	是在这点上我们的意见有分歧。	是在這點上我們的意見有分歧。	tatoeba	333944	是在这点上我们的意见有分歧。	CC-CEDICT	
126	122_1	总体	總體	zǒng tǐ		completely	总体上说，日本的气候温和。	總體上說，日本的氣候溫和。	tatoeba	426884	总体上说，日本的气候温和。	CC-CEDICT	
127	122_1	气候	氣候	qì hòu		climate	总体上说，日本的气候温和。	總體上說，日本的氣候溫和。	tatoeba	426884	总体上说，日本的气候温和。	CC-CEDICT	
128	122_1	温和	溫和	wēn hé		mild	总体上说，日本的气候温和。	總體上說，日本的氣候溫和。	tatoeba	426884	总体上说，日本的气候温和。	CC-CEDICT	
129	127_1	跟着	跟著	gēn zhe		to follow after	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。	tatoeba	4440148	跟着岁数增长他变得比以前倔。	CC-CEDICT	
130	127_1	岁数	歲數	suì shu	suì shù	age	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。	tatoeba	4440148	跟着岁数增长他变得比以前倔。	CC-CEDICT	Taiwan MOE Concise Dictionary
131	127_1	增长	增長	zēng zhǎng		to grow	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。	tatoeba	4440148	跟着岁数增长他变得比以前倔。	CC-CEDICT	
132	127_1	变得	變得	biàn de		to become	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。	tatoeba	4440148	跟着岁数增长他变得比以前倔。	CC-CEDICT	
133	127_1	以前	以前	yǐ qián		before	跟着岁数增长他变得比以前倔。	跟著歲數增長他變得比以前倔。	tatoeba	4440148	跟着岁数增长他变得比以前倔。	CC-CEDICT	
134	131_0	救援	救援	jiù yuán		to save	救援人员前仆后继地冲进火场。	救援人員前仆後繼地衝進火場。	authored			CC-CEDICT	
135	131_0	人员	人員	rén yuán		staff	救援人员前仆后继地冲进火场。	救援人員前仆後繼地衝進火場。	authored			CC-CEDICT	
136	131_0	冲进	衝進	chōng jìn		to rush in	救援人员前仆后继地冲进火场。	救援人員前仆後繼地衝進火場。	authored			CC-CEDICT	
137	131_1	心灵	心靈	xīn líng		bright	心灵应该当一个好仆人，但心应该是主人。	心靈應該當一個好僕人，但心應該是主人。	tatoeba	828800	心靈應該當一個好僕人，但心應該是主人。	CC-CEDICT	
138	131_1	应该	應該	yīng gāi		ought to	心灵应该当一个好仆人，但心应该是主人。	心靈應該當一個好僕人，但心應該是主人。	tatoeba	828800	心靈應該當一個好僕人，但心應該是主人。	CC-CEDICT	
139	131_1	仆人	僕人	pú rén		servant	心灵应该当一个好仆人，但心应该是主人。	心靈應該當一個好僕人，但心應該是主人。	tatoeba	828800	心靈應該當一個好僕人，但心應該是主人。	CC-CEDICT	
140	131_1	主人	主人	zhǔ rén		owner	心灵应该当一个好仆人，但心应该是主人。	心靈應該當一個好僕人，但心應該是主人。	tatoeba	828800	心靈應該當一個好僕人，但心應該是主人。	CC-CEDICT	
141	134_1	通用	通用	tōng yòng		to use anywhere	在商朝，贝朋为通用货币。	在商朝，貝朋為通用貨幣。	tatoeba	6039669	在商朝，貝朋為通用貨幣。	CC-CEDICT	
142	134_1	货币	貨幣	huò bì		currency	在商朝，贝朋为通用货币。	在商朝，貝朋為通用貨幣。	tatoeba	6039669	在商朝，貝朋為通用貨幣。	CC-CEDICT	
143	136_1	不仅	不僅	bù jǐn		not just	不仅他们，连我也被老师罚了。	不僅他們，連我也被老師罰了。	tatoeba	334733	不仅他们，连我也被老师罚了。	CC-CEDICT	
144	136_1	他们	他們	tā men		they	不仅他们，连我也被老师罚了。	不僅他們，連我也被老師罰了。	tatoeba	334733	不仅他们，连我也被老师罚了。	CC-CEDICT	
145	136_1	老师	老師	lǎo shī		teacher	不仅他们，连我也被老师罚了。	不僅他們，連我也被老師罰了。	tatoeba	334733	不仅他们，连我也被老师罚了。	CC-CEDICT	
146	142_1	丹尼尔	丹尼爾	dān ní ěr		Daniel	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
147	142_1	时间	時間	shí jiān		time	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
148	142_1	陪伴	陪伴	péi bàn		to accompany	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
149	142_1	阿曼	阿曼	ā màn		Oman	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
150	142_1	从而	從而	cóng ér		thus	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
151	142_1	帮助	幫助	bāng zhù		assistance	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
152	142_1	康复	康復	kāng fù		to recuperate	丹尼尔开始花更多时间陪伴阿曼达，从而帮助她康复。	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	tatoeba	13958137	丹尼爾開始花更多時間陪伴阿曼達，從而幫助她康復。	CC-CEDICT	
153	143_1	战役	戰役	zhàn yì		military campaign	这场战役让拿破仑称霸了整个欧洲。	這場戰役讓拿破侖稱霸了整個歐洲。	tatoeba	425949	這場戰役讓拿破崙稱霸了整個歐洲。	CC-CEDICT	
154	143_1	拿破仑	拿破侖	ná pò lún		Napoleon	这场战役让拿破仑称霸了整个欧洲。	這場戰役讓拿破侖稱霸了整個歐洲。	tatoeba	425949	這場戰役讓拿破崙稱霸了整個歐洲。	CC-CEDICT	
155	143_1	整个	整個	zhěng gè		whole	这场战役让拿破仑称霸了整个欧洲。	這場戰役讓拿破侖稱霸了整個歐洲。	tatoeba	425949	這場戰役讓拿破崙稱霸了整個歐洲。	CC-CEDICT	
156	143_1	欧洲	歐洲	ōu zhōu		Europe	这场战役让拿破仑称霸了整个欧洲。	這場戰役讓拿破侖稱霸了整個歐洲。	tatoeba	425949	這場戰役讓拿破崙稱霸了整個歐洲。	CC-CEDICT	
157	149_1	仓库	倉庫	cāng kù		depot	仓库物料搬运设备有哪些？	倉庫物料搬運裝置有哪些？	tatoeba	9810323	仓库物料搬运设备有哪些？	CC-CEDICT	
158	149_1	物料	物料	wù liào		material	仓库物料搬运设备有哪些？	倉庫物料搬運裝置有哪些？	tatoeba	9810323	仓库物料搬运设备有哪些？	CC-CEDICT	
159	149_1	搬运	搬運	bān yùn		to transport	仓库物料搬运设备有哪些？	倉庫物料搬運裝置有哪些？	tatoeba	9810323	仓库物料搬运设备有哪些？	CC-CEDICT	
160	149_1	设备	裝置	shè bèi	zhuāng zhì	equipment	仓库物料搬运设备有哪些？	倉庫物料搬運裝置有哪些？	tatoeba	9810323	仓库物料搬运设备有哪些？	CC-CEDICT	Taiwan MOE Concise Dictionary
161	149_1	哪些	哪些	nǎ xiē		which ones?	仓库物料搬运设备有哪些？	倉庫物料搬運裝置有哪些？	tatoeba	9810323	仓库物料搬运设备有哪些？	CC-CEDICT	
162	154_1	信用卡	信用卡	xìn yòng kǎ		credit card	信用卡很有用，但也有风险。	信用卡很有用，但也有風險。	tatoeba	375373	信用卡很有用，但也有风险。	CC-CEDICT	
163	154_1	风险	風險	fēng xiǎn		risk	信用卡很有用，但也有风险。	信用卡很有用，但也有風險。	tatoeba	375373	信用卡很有用，但也有风险。	CC-CEDICT	
164	157_1	乌克兰	烏克蘭	wū kè lán		Ukraine	你会说乌克兰语还是俄罗斯语？	你會說烏克蘭語還是俄羅斯語？	tatoeba	10767106	你會說烏克蘭語還是俄羅斯語？	CC-CEDICT	
